Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,4727,4967,5343,987,4349,20373,17997
1,37815,35066,36601,3784,65582,178848,174989
2,68677,66440,66344,7128,205843,414432,336989
3,102369,94547,98486,11540,504915,811857,630353
4,127635,137224,128663,13967,142212,549701,768838
5,156238,168965,162183,21932,158027,667345,914794
6,199056,4199,370209,23125,198460,795049,1081841
7,234325,6282,439683,27769,201929,909988,1246158
8,243407,246075,270337,34068,231374,1025261,1439371
9,295664,6490,553703,32631,249948,1138436,1549749
10,320116,6997,595561,36122,298355,1257151,1692762
11,368425,8081,678846,44418,2418404,3518174,2613217
12,404270,379511,375459,55905,373454,1588599,2759563
13,424230,398885,418358,53949,421382,1716804,2959808
14,463312,10048,864366,69909,422058,1829693,3110947
15,457833,487730,460512,63066,457474,1926615,3298825
16,486112,543102,513426,70748,2789804,4403192,3927187
17,551701,12183,1044126,72131,546947,2227088,4178115
18,598412,12453,1104823,78661,627172,2421521,4354961
19,609805,13733,1148930,81410,630530,2484408,4532149
20,603123,660354,630621,92742,666398,2653238,4913164
21,628543,586897,589182,74241,577121,2455984,4533348
22,595317,547306,573583,83769,569846,2369821,4331400
23,570961,11737,1042686,65484,503634,2194502,4161210
24,504692,488295,549097,73788,465321,2081193,3999632
25,458259,501657,480343,55495,2381048,3876802,3179989
26,459901,9889,860726,50263,397375,1778154,3128597
27,402181,412414,446225,52519,362355,1675694,2937759
28,397155,8453,745042,49038,346189,1545877,2752137
29,364087,7772,676742,45121,327987,1421709,2566250
30,330487,7486,617088,44145,1896008,2895214,1671501
31,291113,277505,277385,35488,242037,1123528,1533902
32,260927,252800,249816,36009,213763,1013315,1399802
33,236245,5390,433912,27885,188076,891508,1243700
34,200380,4081,371489,21218,171127,768295,1092459
35,163282,150449,160099,16158,140898,630886,900933
36,123988,122426,135663,14412,105950,502439,782201
37,92963,94101,100341,12076,90865,390346,598557
38,67325,63794,62993,7195,432455,633762,322832
39,34903,789,65871,3373,232013,336949,162596
40,3228,3267,3742,387,28212,38836,14895
