Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,452462,301012,613707,99282,445274,1911739,1964942
1,451452,440945,452183,103351,460959,1908891,1950899
2,447071,311083,601858,99175,446380,1905569,1984513
3,459370,169691,731481,106023,437796,1904362,1963485
4,461762,301775,601797,99883,444164,1909382,1975671
5,444881,446162,476067,103353,444522,1914987,1961016
6,446324,462380,456068,97819,449551,1912143,1973915
7,450921,327386,578608,99231,446645,1902793,1957382
8,448508,299654,606707,99230,441551,1895651,1986637
9,449622,336111,587132,101718,442242,1916826,1965903
