,dataset,edges,types,bytes,degree,attribute-summarization-ratio,attributeVHI,attribute-compression,instances,attributeschema-computation,attributeupdate,attributeincremental,attributebatch,attributespeed-up,attribute:changes,attribute:updates,attribute:change-update-ratio,attribute:change-size-ratio,attribute:update-size-ratio
1,DyLDO-core,9653266,1054148,170365210,3.536530681611429,163.60767126064044,97752958,0.5737847416147933,3228961,45175,252057,1353140,3642321,2.6917547334348257,209098,423,493.1556603773585,0.06475705342988039,0.02143291447101743
2,DyLDO-core,9220298,1120660,163484782,3.5541210421746117,175.80070175438595,113017849,0.691305010884744,3507224,56041,320570,1642867,3934821,2.3950940642182235,289356,470,614.343949044586,0.08250285696037664,0.02355889724310777
3,DyLDO-core,11517193,1146303,192083558,3.977475278752956,177.5599105281887,111837369,0.5822329103254116,3492781,50684,294514,1588971,3773330,2.3747003563941695,25722,447,57.41517857142857,0.007364332318573652,0.022723806618880585
4,DyLDO-core,11273950,1101577,188678908,3.9927464874332617,175.50780733431668,109663825,0.5812193114876412,3450659,55235,276327,1412706,3608582,2.5543757866109438,45089,222,202.1928251121076,0.013066779418076373,0.0112913890443009
5,DyLDO-core,9465024,1150511,166929845,3.4957372528846986,165.17638618427796,99262078,0.5946335000790302,3223252,52561,286417,1579649,3623587,2.2939190921527506,229979,341,672.453216374269,0.07134999063058055,0.017474633596392335
6,DyLDO-core,11195418,1205127,183911216,4.130817549726712,177.30846126383435,111592697,0.6067748309597387,3476487,54125,340072,1665239,3810017,2.2879700751663874,255896,393,649.4822335025381,0.07360763897578217,0.0200438618860611
7,DyLDO-core,11411817,1183806,188995709,3.996885928741772,178.21290619251994,110243259,0.5833109099847341,3487983,52433,294752,1434925,3665372,2.5543997073017755,14232,237,59.79831932773109,0.0040802951161172515,0.01210913549969344
8,DyLDO-core,9481631,1197554,169288861,3.4637289914203704,177.367908251294,112155695,0.6625107779536659,3495212,56364,328273,1665297,3938148,2.364832219117671,10368,262,39.42205323193917,0.002966343672429598,0.013295443012280524
9,DyLDO-core,11505839,1179941,190337578,3.999387263810488,164.09386132479736,99035378,0.5203143753358047,3178334,45901,263632,1303739,3288431,2.522307762519952,318255,507,626.4862204724409,0.10013264811061393,0.026175848004543343
10,DyLDO-core,8794665,1079120,157294786,3.4836894906586773,158.37445288075034,116999980,0.7438261812441768,3546004,55689,652627,1986109,4299240,2.16465460858392,370907,3205,115.69151590767311,0.10459858477317002,0.143144260830728
11,DyLDO-core,11534864,1219106,190409191,3.950579381396489,165.80743993800053,99860795,0.5244536488787456,3209203,45897,261404,1306721,3337300,2.5539499250413824,340197,3245,104.80499075785582,0.10600669387383721,0.1676569361921984
12,DyLDO-core,8834488,1113055,158645357,3.451835694963185,176.97252412392078,111318280,0.7016800371913815,3484589,51731,299254,1453065,3572922,2.458886560477336,279432,497,561.1084337349398,0.08019080585974414,0.025241239207719656
13,DyLDO-core,9543222,1153683,167274050,3.4875538030603948,162.4577620294767,98299900,0.5876577986842549,3163540,50938,293550,1557366,3611969,2.319280759949813,323204,399,808.01,0.10216529583947097,0.020489909104914498
14,DyLDO-core,11101931,1074884,182489794,4.109489631121534,156.49037360807577,88356139,0.48417030379244114,3007432,51369,250551,1298931,3338822,2.570438306576716,158480,471,335.76271186440675,0.05269612081004658,0.024508273493599752
15,DyLDO-core,8755542,1121389,154648862,3.5801505165479446,176.11347770700638,111793561,0.7228864121871132,3456227,60220,360912,1706883,3806509,2.23009368539027,453410,771,587.3186528497409,0.13118640644841903,0.03928662420382165
16,DyLDO-core,11566501,1159923,189734828,4.0452093770367705,176.97365728900255,109486195,0.5770484847410302,3459835,53868,273054,1437224,3744912,2.6056564599533547,7450,391,19.005102040816325,0.0021532818761588342,0.02
17,DyLDO-core,9584034,1156697,167873938,3.5222795613096123,176.44041424344454,109892809,0.6546150659788538,3458585,51448,310678,1446738,3665838,2.5338644592179094,4480,178,25.027932960893853,0.001295327424365745,0.00908070605040302
18,DyLDO-core,9364328,1165016,167374275,3.503679398770508,175.84446145992854,110012129,0.6572821838959422,3444793,59357,276762,1477755,3743759,2.533409800677379,17340,170,101.40350877192982,0.00503368417202427,0.008677896886166412
19,DyLDO-core,9886701,1229002,171002569,3.6137417439237702,170.7193272962484,101503641,0.5935796262803513,3299151,42052,253327,1266330,3481800,2.749520267228921,148179,377,392.0079365079365,0.04491428249267766,0.019508408796895214
20,DyLDO-core,8789636,809195,136280069,3.4230886271979015,141.44043395547328,93652274,0.6872044803558178,2750875,52823,274808,1241136,3346872,2.6966198708280156,551199,414,1328.190361445783,0.20037224519471078,0.02128644146228598
23,DyLDO-core,6705798,842745,109961118,3.4423881051643628,118.00237573099415,86709689,0.788548630434987,2582836,45080,236779,1137744,3635815,3.1956353977696215,106862,351,303.58522727272725,0.04137390062706266,0.016036184210526317
24,DyLDO-core,7137144,1184792,138382905,3.4810489151056423,118.69951076768324,86939891,0.6282560045982558,2596077,45936,225697,1139153,3642905,3.197906690321669,16786,183,91.22826086956522,0.006465909909451838,0.008367244296099858
25,DyLDO-core,7122506,1196143,138419034,3.4594097407761635,132.18546496483458,84142402,0.6078817310630849,2537300,47049,216278,1122692,3305777,2.944509268793222,60232,2838,21.215921098978512,0.02373861979269302,0.1478510028653295
26,DyLDO-core,6996181,1236221,137244010,3.491690062260348,117.57994950557543,76412502,0.5567638398207688,2235430,44325,206843,1036524,3149282,3.0383107385839594,303935,425,713.462441314554,0.1359626559543354,0.02235430254576057
27,DyLDO-core,6422157,1135501,127576733,3.354356717697593,118.82176399601238,76781901,0.6018487791186815,2264624,49627,197345,1041951,3166084,3.038611220681203,31190,253,122.79527559055119,0.01377270575601071,0.013274568445353902
28,DyLDO-core,6463308,1171077,130808794,3.320260954797112,119.01309243257397,77438184,0.5919952446010626,2272555,44407,209019,1082166,3014363,2.785490396112981,9163,162,56.214723926380366,0.004032025627542568,0.008483896307934015
29,DyLDO-core,6541414,1163590,131754170,3.3572959890159617,118.57186496023596,76973712,0.584222207160502,2251324,48471,235239,1099712,3039970,2.7643328435081185,22394,388,57.56812339331619,0.009947035611044878,0.02043503449728762
30,DyLDO-core,6550937,1135031,131086741,3.3962067772820816,104.05656379548596,79611771,0.6073213079574539,2259068,41568,558138,1389024,3548170,2.5544339046697537,9381,2961,3.1671168129642133,0.004152597442839259,0.13638876093965915
31,DyLDO-core,6502058,1149344,131392938,3.3036569040371604,106.77417870617465,79777246,0.6071654018422208,2320630,48074,222556,1094166,3571231,3.2638840907138404,62944,146,428.1904761904762,0.027123669003675726,0.0067175853501426335
32,DyLDO-core,6640832,1203660,132910826,3.3256039059399463,106.4230060784675,79554143,0.5985527695087833,2311082,44342,201666,1068335,3381757,3.1654462317531484,10725,156,68.31210191082802,0.004640683454762748,0.007183643396573955
33,DyLDO-core,6608944,1196667,132306796,3.3281888709366925,117.76710602321063,76384584,0.5773292552560944,2242639,43759,203248,1045103,3004215,2.874563559763966,69750,2853,24.439383321653818,0.03110175110662037,0.14981883106653363
34,DyLDO-core,6432119,1149200,130176175,3.346524683565576,118.00535995796112,76665900,0.5889395659382372,2245642,43806,196676,1038829,3160817,3.0426730482110145,4419,181,24.28021978021978,0.00196781143209826,0.009511297950604309
35,DyLDO-core,6420219,1153275,129391181,3.3267381932003524,118.88852079718147,77076405,0.5956851495157155,2260903,45686,212273,1048957,3150595,3.003550193191904,16385,169,96.38235294117646,0.007247104364937373,0.008886785507703634
36,DyLDO-core,6468510,1157838,129899477,3.3358667961106194,118.4453781512605,77173385,0.5941008138162096,2255200,44538,222731,1169375,2884010,2.4662832709780864,7368,177,41.39325842696629,0.003267115998581057,0.009296218487394958
37,DyLDO-core,7453650,1152187,137153354,3.2688242712992883,115.66633282378368,75304636,0.5490542797808649,2194306,42255,210167,1029744,2950944,2.865706428005407,62398,231,268.9568965517241,0.028436325653760232,0.01217647989035897
38,DyLDO-core,6344098,1090891,127772862,3.3320630814812047,111.29862101759392,72547248,0.5677829146536609,2106549,39699,200375,995009,3106389,3.1219707560434125,90128,260,345.31800766283527,0.042784668194283636,0.013736989485919586
39,DyLDO-core,6145732,1047345,125469390,3.3411063039954088,136.4771072897985,86011673,0.6855191772272106,2587333,45300,229567,1121419,3005355,2.6799572684250936,484245,495,976.3004032258065,0.18715990558617696,0.026110349192952843
40,DyLDO-core,6978353,1159882,137479345,3.4348844708004225,134.44272364552708,85182788,0.6196042612801218,2560865,44000,250933,1144659,3014384,2.6334340620219647,29040,224,129.06666666666666,0.011339918347901979,0.011759764804703907
41,DyLDO-core,6936178,1143041,136746062,3.4515050217768155,134.3024185068349,84861610,0.6205780902122067,2554432,47307,216613,1118481,2933163,2.6224522365601204,8216,182,44.89617486338798,0.0032163706060681983,0.009568874868559412
42,DyLDO-core,6906470,1234551,137429132,3.442313453838962,124.59748427672956,76849543,0.5591939778823605,2357509,34309,196044,944156,2678916,2.8373658590317703,198574,309,640.5612903225806,0.08423043135784423,0.016331060726177262
43,DyLDO-core,6275794,718149,104389336,3.4096244842314904,135.61937752584896,86189472,0.8256539920897668,2583956,50248,226723,1139825,3207607,2.81412234334218,228457,270,843.0147601476015,0.08841365719849718,0.014170996693434105
44,DyLDO-core,6974785,1257129,138756520,3.4249395335057486,119.99761045029737,71030970,0.5119108637201336,2259795,45329,196122,1023148,3062136,2.9928573383322843,325918,337,964.2544378698225,0.1442245867434878,0.017895072217502125
45,DyLDO-core,6574434,1036425,128225988,3.5546750971472183,124.55340319678204,76690358,0.5980874797392866,2353312,34603,229254,981777,3027434,3.083626933611197,96785,486,198.73716632443532,0.04112714336220612,0.025722451571927596
46,DyLDO-core,6319184,727064,105016058,3.4276928223957595,138.2528439388553,101622319,0.9676836184424291,3111242,55632,726411,1747416,3676239,2.1038144322817236,973871,6926,140.59058755594052,0.31301679522197245,0.30776750799857805
47,DyLDO-core,7792057,1699907,149700801,3.4170160494859205,126.29322713366389,81036197,0.5413210648084642,2394267,44631,346057,1150495,2923481,2.541063629133547,932558,6854,136.04055433989788,0.38949624248256354,0.3615360270070683
48,DyLDO-core,6505648,1031417,130064498,3.4252434152957894,128.19169396597275,80798778,0.621220849981676,2426156,40326,204378,1030294,2913238,2.827579312312796,33008,168,195.31360946745562,0.013605060845221824,0.008876677586389095
49,DyLDO-core,6617660,1057916,133230134,3.432569419922216,127.7433211659525,80336919,0.6029936065364913,2414732,40984,203771,1031428,3084529,2.990542238527556,19947,171,115.97093023255815,0.008260544027246087,0.009046183145532455
50,DyLDO-core,6574853,1055432,132829033,3.4246381075905155,126.6003810935267,79605996,0.5993117182446099,2391861,44230,206933,1040308,2907798,2.7951318263437366,33147,170,193.8421052631579,0.013858246779390609,0.008998041602709998
