Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,340988,255227,472703,105638,257743,1432300,1498893
1,323630,349460,364883,91681,264921,1394576,1496309
2,344087,346618,354307,93455,270197,1408665,1526088
3,341154,231961,476789,93926,263701,1407532,1510195
4,353740,336872,359066,94552,275814,1420045,1517380
5,350253,123112,571190,96983,269125,1410665,1513334
6,361114,127421,553627,89443,277013,1408619,1532913
7,361994,124254,563629,95819,267378,1413075,1504971
8,346283,246449,458961,97927,271928,1421549,1534064
9,356575,228951,467937,96062,278554,1428081,1530547
