Iteration,NewlyObservedSchema (SE_new),DeletedSchemaStructures (SE_del),ChangedSchemaStructures (SE_mod),InstanceAddedWithKnownSchema (PE_add),InstancesDeleted (PE_del),InstanceNotChanged (PE_mod),TotalNumberOfSchemaElementsWritten,TotalNumberOfSchemaElementsDeleted,TotalNumberOfNewInstances,ChangedSchemaStructuresBecauseOfNeighbor,TotalNumberOfChangedPayloadElements (real PE_mod),PayloadEntriesAdded,PayloadEntriesRemoved,InstanceToSchemaLinksAdded,InstanceToSchemaLinksRemoved
0,293,0,0,0,0,0,339,0,0,0,0,0,0,0,0
1,68,68,696325,0,0,994452,75,71,0,361558,0,0,0,0,0
2,51,53,757255,0,0,1085684,54,57,0,392832,0,0,0,0,0
3,65,68,700063,0,0,1000647,69,71,0,363990,0,0,0,0,0
4,65,62,679806,0,0,972123,68,65,0,353110,0,0,0,0,0
5,55,67,759646,0,0,1090023,57,71,0,393370,0,0,0,0,0
6,61,61,697663,0,0,1000016,63,64,0,361468,0,0,0,0,0
7,65,56,692628,0,0,992858,71,57,0,359676,0,0,0,0,0
8,61,69,722031,0,0,1037051,61,72,0,375116,0,0,0,0,0
9,68,65,762653,0,0,1094234,73,66,0,394854,0,0,0,0,0
