Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,354871,351221,360292,95077,254074,1415536,1516993
1,350613,132286,561786,98853,282918,1426457,1508915
2,346745,248795,464273,97093,286282,1443190,1530139
3,331613,356616,365794,98865,285155,1438045,1521141
4,356686,134215,565608,98397,281892,1436799,1521932
5,350078,125287,579210,100106,295510,1450193,1520663
6,337283,251539,463616,95573,290332,1438345,1526558
7,321150,345569,373857,97120,283131,1420829,1521029
8,336354,366149,348109,100962,285370,1436945,1540433
9,347566,355436,354592,101009,291265,1449870,1522985
