Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,361992,359955,349820,82023,171540,1325332,1406622
1,347252,134658,558501,79023,169803,1289239,1405829
2,343995,230347,479400,82012,173017,1308772,1417498
3,336827,354413,360138,78969,171810,1302158,1408916
4,343062,340211,371589,82171,250176,1387211,1454935
5,342769,361038,355474,84773,200629,1344684,1430956
6,354679,136444,568980,103724,184710,1348539,1471702
7,375846,20886,681199,84088,187620,1349641,1449642
8,354432,350747,371597,88406,192365,1357549,1461766
9,344696,370449,356856,85900,187358,1345260,1443722
