Iteration,NewlyObservedSchema (SE_new),DeletedSchemaStructures (SE_del),ChangedSchemaStructures (SE_mod),InstanceAddedWithKnownSchema (PE_add),InstancesDeleted (PE_del),InstanceNotChanged (PE_mod),TotalNumberOfSchemaElementsWritten,TotalNumberOfSchemaElementsDeleted,TotalNumberOfNewInstances,ChangedSchemaStructuresBecauseOfNeighbor,TotalNumberOfChangedPayloadElements (real PE_mod),PayloadEntriesAdded,PayloadEntriesRemoved,InstanceToSchemaLinksAdded,InstanceToSchemaLinksRemoved
0,111887,0,0,0,0,0,115685,1,0,0,0,0,0,0,0
1,477,823,6802,0,0,3108163,536,853,0,3291,0,0,0,0,0
2,738,325,11587,0,0,3184546,767,369,0,389,0,0,0,0,0
3,112,358,7876,0,0,2299476,124,372,0,344,0,0,0,0,0
4,220,234,36424,0,0,2241495,230,249,0,2040,0,0,0,0,0
5,218,386,2117,0,0,2046901,250,402,0,343,0,0,0,0,0
6,446,374,36188,0,0,2080026,466,388,0,1888,0,0,0,0,0
7,241,332,2522,0,0,2296026,255,346,0,680,0,0,0,0,0
8,410,167,2862,0,0,2296985,424,172,0,709,0,0,0,0,0
9,195,564,3880,0,0,2091812,206,596,0,2364,0,0,0,0,0
10,2657,218,5080,0,0,2093093,2700,224,0,2268,0,0,0,0,0
11,458,2900,5159,0,0,2109378,466,2947,0,2294,0,0,0,0,0
12,756,500,5491,0,0,2102770,782,505,0,2209,0,0,0,0,0
13,222,532,4450,0,0,2064976,228,556,0,2368,0,0,0,0,0
14,284,460,4743,0,0,1934238,302,484,0,2576,0,0,0,0,0
15,790,443,3621,0,0,1967494,824,454,0,475,0,0,0,0,0
16,413,373,3228,0,0,2282754,420,388,0,650,0,0,0,0,0
17,143,91,2468,0,0,2280706,153,96,0,306,0,0,0,0,0
18,247,256,36985,0,0,2233184,258,264,0,2031,0,0,0,0,0
19,230,3242,36530,0,0,2124438,238,3917,0,2135,0,0,0,0,0
20,2988,222,2534,0,0,1700017,3650,233,0,456,0,0,0,0,0
21,0,74014,0,0,0,0,0,76558,0,0,0,0,0,0,0
22,73067,0,0,0,0,0,74959,1,0,0,0,0,0,0,0
23,3264,488,3602,0,0,1606082,3928,498,0,874,0,0,0,0,0
24,381,390,2677,0,0,1695461,386,398,0,305,0,0,0,0,0
25,198,2249,35204,0,0,1631068,208,2266,0,1710,0,0,0,0,0
26,222,444,35818,0,0,1415680,241,460,0,1936,0,0,0,0,0
27,158,148,1624,0,0,1465949,167,162,0,286,0,0,0,0,0
28,115,96,975,0,0,1483106,126,101,0,146,0,0,0,0,0
29,188,300,1256,0,0,1473189,200,335,0,476,0,0,0,0,0
30,2384,257,3968,0,0,1425590,2423,266,0,2289,0,0,0,0,0
31,198,156,3495,0,0,1481686,208,162,0,1992,0,0,0,0,0
32,80,110,922,0,0,1519346,87,120,0,131,0,0,0,0,0
33,116,2183,1116,0,0,1474456,120,2202,0,232,0,0,0,0,0
34,116,118,1680,0,0,1465382,127,123,0,730,0,0,0,0,0
35,86,148,1338,0,0,1476109,89,160,0,581,0,0,0,0,0
36,147,104,1377,0,0,1479479,157,112,0,262,0,0,0,0,0
37,182,282,3682,0,0,1430586,192,299,0,2098,0,0,0,0,0
38,142,313,1967,0,0,1374162,146,332,0,375,0,0,0,0,0
39,576,356,2973,0,0,1376487,603,373,0,630,0,0,0,0,0
40,222,168,2220,0,0,1688434,236,172,0,497,0,0,0,0,0
41,204,228,35456,0,0,1648180,208,240,0,1792,0,0,0,0,0
42,274,2982,36312,0,0,1511928,288,3643,0,2212,0,0,0,0,0
43,2975,205,36528,0,0,1514976,3638,218,0,2202,0,0,0,0,0
44,182,548,36128,0,0,1452166,186,570,0,2060,0,0,0,0,0
45,378,2818,2530,0,0,1372858,390,3478,0,258,0,0,0,0,0
46,63472,24022,294988,0,0,1240299,64235,24059,0,11859,0,0,0,0,0
47,23952,60880,259901,0,0,1312200,23993,60996,0,9950,0,0,0,0,0
48,113,126,1144,0,0,1581014,117,137,0,396,0,0,0,0,0
49,98,112,5846,0,0,1581979,102,121,0,162,0,0,0,0,0
50,375,673,8142,0,0,1568038,384,678,0,1288,0,0,0,0,0
