,dataset,edges,types,bytes,degree,schemex-summarization-ratio,schemexVHI,schemex-compression,instances,schemexschema-computation,schemexupdate,schemexincremental,schemexbatch,schemexspeed-up,schemex:changes,schemex:updates,schemex:change-update-ratio,attribute-summarization-ratio,attributeVHI,attribute-compression,attributeschema-computation,attributeupdate,attributeincremental,attributebatch,attributespeed-up,attribute:changes,attribute:updates,attribute:change-update-ratio,type-summarization-ratio,typeVHI,type-compression,typeschema-computation,typeupdate,typeincremental,typebatch,typespeed-up,type:changes,type:updates,type:change-update-ratio
0,LUBM,11096695,2308688,113341389,6.7243670016421575,6357.899705014749,44806798.0,0.395326000460432,2155328.0,95077.0,254074.0,1415536.0,1516993.0,1.0716739100948334,2155328.0,293.0,7331.047619047619,74321.6551724138,43890039.0,0.3872375253844825,105638.0,257743.0,1432300.0,1498893.0,1.0464937513090833,2155328.0,28.0,74321.6551724138,40666.56603773585,43790728.0,0.38636131413565084,82023.0,171540.0,1325332.0,1406622.0,1.0613355747842805,2155328.0,53.0,39913.48148148148
1,LUBM,10971370,2285287,112199571,6.722140375933358,6278.040816326531,45271681.0,0.40349246076885625,2153368.0,98853.0,282918.0,1426457.0,1508915.0,1.0578061588957817,698285.0,136.0,5096.970802919708,82821.84615384616,44180173.0,0.3937641882784026,91681.0,264921.0,1394576.0,1496309.0,1.0729490540494029,277696.0,5.0,46282.666666666664,41410.92307692308,43900780.0,0.39127404506742725,79023.0,169803.0,1289239.0,1405829.0,1.090433193535101,133216.0,13.0,9515.42857142857
2,LUBM,10956090,2282653,112119291,6.720665877810986,6372.83284457478,45471303.0,0.40556181362224275,2173136.0,97093.0,286282.0,1443190.0,1530139.0,1.0602477844220095,777023.0,104.0,7400.219047619048,80486.51851851853,44341493.0,0.3954849571783325,93455.0,270197.0,1408665.0,1526088.0,1.0833576471339885,320252.0,3.0,80063.0,40243.25925925926,44064931.0,0.3930182808594464,82012.0,173017.0,1308772.0,1417498.0,1.0830748212828514,162211.0,6.0,23173.0
3,LUBM,11074551,2302963,113368625,6.723470507810537,6386.587020648967,45194417.0,0.3986501291693359,2165053.0,98865.0,285155.0,1438045.0,1521141.0,1.0577840053683996,708146.0,133.0,5284.671641791045,83271.26923076923,44024422.0,0.3883298575774382,93926.0,263701.0,1407532.0,1510195.0,1.072938306198367,285106.0,5.0,47517.666666666664,39364.6,43756215.0,0.38596406192630456,78969.0,171810.0,1302158.0,1408916.0,1.081985442626778,139544.0,9.0,13954.4
4,LUBM,11017277,2294578,112795019,6.7200809292837045,6357.523391812865,45285153.0,0.40148185089627053,2174273.0,98397.0,281892.0,1436799.0,1521932.0,1.0592518508155977,689026.0,127.0,5383.015625,77652.60714285714,44021906.0,0.39028235812434237,94552.0,275814.0,1420045.0,1517380.0,1.0685436024914703,278704.0,4.0,55740.8,41024.018867924526,43760631.0,0.38796598810803873,82171.0,250176.0,1387211.0,1454935.0,1.0488202587782247,136981.0,8.0,15220.111111111111
5,LUBM,11080388,2304562,113401669,6.7233548608674285,6623.354740061162,44839304.0,0.3954025050548418,2165837.0,100106.0,295510.0,1450193.0,1520663.0,1.0485935320333224,768082.0,122.0,6244.569105691057,80216.18518518518,43620292.0,0.38465299836107353,96983.0,269125.0,1410665.0,1513334.0,1.0727805680299716,310187.0,1.0,155093.5,40864.84905660377,43339347.0,0.382175565687662,84773.0,200629.0,1344684.0,1430956.0,1.0641578244405376,151552.0,6.0,21650.285714285714
6,LUBM,11029340,2295906,112930313,6.722780557261944,6649.588957055214,44770977.0,0.3964478253062134,2167766.0,95573.0,290332.0,1438345.0,1526558.0,1.061329514129086,699592.0,122.0,5687.739837398374,74750.55172413793,43544160.0,0.3855843381927047,89443.0,277013.0,1408619.0,1532913.0,1.08823819641791,278753.0,4.0,55750.6,42505.21568627451,43292476.0,0.3833556717406778,103724.0,184710.0,1348539.0,1471702.0,1.0913306919562578,133459.0,10.0,12132.636363636364
7,LUBM,11041157,2297877,113027786,6.7232441855966725,6310.970674486804,44292652.0,0.3918740122893321,2152041.0,97120.0,283131.0,1420829.0,1521029.0,1.070522209217295,708353.0,121.0,5806.172131147541,76858.60714285714,43129708.0,0.3815850024701006,95819.0,267378.0,1413075.0,1504971.0,1.065032641579534,290016.0,1.0,145008.0,39128.01818181818,42851961.0,0.3791276686601647,84088.0,187620.0,1349641.0,1449642.0,1.0740945184682444,145978.0,8.0,16219.777777777777
8,LUBM,10941826,2281311,112008778,6.717887227092858,6604.395136778116,44455813.0,0.39689579507777506,2172846.0,100962.0,285370.0,1436945.0,1540433.0,1.0720194579472422,742836.0,130.0,5670.503816793893,77601.64285714286,43360882.0,0.3871203915821669,97927.0,271928.0,1421549.0,1534064.0,1.0791495755686227,307109.0,2.0,102369.66666666667,45267.625,43081986.0,0.3846304438746756,88406.0,192365.0,1357549.0,1461766.0,1.0767684997005633,156488.0,7.0,19561.0
9,LUBM,11065049,2302913,113261164,6.7223890408229385,6465.270833333333,44292211.0,0.3910626505657314,2172331.0,101009.0,291265.0,1449870.0,1522985.0,1.0504286591211627,763168.0,133.0,5695.2835820895525,77583.25,43113014.0,0.38065134135474715,96062.0,278554.0,1428081.0,1530547.0,1.0717508320606464,303867.0,2.0,101289.0,43446.62,42882878.0,0.3786194356964228,85900.0,187358.0,1345260.0,1443722.0,1.0731917993547715,143565.0,12.0,11043.461538461539
0,BSBM,67622,7928,2211932,6.5741784950417985,19.033766233766233,153284.0,0.06929869453491337,7328.0,1009.0,4686.0,16941.0,13210.0,0.7797650669972257,7328.0,362.0,20.18732782369146,149.55102040816325,139165.0,0.06291558691677683,942.0,2278.0,13759.0,12236.0,0.8893088160476779,7328.0,48.0,149.55102040816325,318.60869565217394,129269.0,0.05844166999708852,821.0,939.0,12689.0,10724.0,0.8451414611080463,7328.0,23.0,305.3333333333333
1,BSBM,649327,75978,21023798,7.383288513909122,27.039777247414477,1564296.0,0.07440596603905726,67978.0,3442.0,54772.0,136433.0,117853.0,0.8638159389590495,66850.0,2760.0,24.21224194132561,1359.56,1363120.0,0.06483700043160613,3069.0,13579.0,95362.0,93810.0,0.9837251735492125,60718.0,1.0,30359.0,659.9805825242719,1329934.0,0.06325850353014237,3063.0,7631.0,88850.0,89325.0,1.0053460889138999,60850.0,112.0,538.4955752212389
2,BSBM,1288794,148777,41406662,7.6458838221291945,35.406933333333335,3125938.0,0.07549360052254393,132776.0,7421.0,211435.0,364201.0,256998.0,0.7056488038198687,126800.0,6012.0,21.087643439215036,2655.52,2695048.0,0.06508730406715711,6912.0,27484.0,178589.0,182778.0,1.023456091920555,65487.0,0.0,65487.0,983.5259259259259,2666370.0,0.06439471020387975,6048.0,14244.0,164112.0,172331.0,1.0500816515550355,66798.0,224.0,296.88
3,BSBM,1936770,224092,62369214,7.686617070126169,28.494730845912844,4894754.0,0.07848028997126691,200090.0,9921.0,619165.0,842846.0,565851.0,0.6713575196417851,191298.0,10260.0,18.643212162557255,4001.8,4090770.0,0.06558957116246486,9716.0,39957.0,263026.0,276193.0,1.0500596899165862,68703.0,0.0,68703.0,760.7984790874525,3848735.0,0.06170889054333761,9037.0,21005.0,241397.0,254539.0,1.0544414387917,71288.0,380.0,187.10761154855643
4,BSBM,2567969,295186,82387202,7.825034623453803,34.57475039411455,6255374.0,0.07592652557857227,263183.0,14458.0,114816.0,410960.0,687035.0,1.6717807085847771,242204.0,741.0,326.42048517520215,5160.450980392156,5404917.0,0.06560384220840514,13523.0,53637.0,347390.0,361389.0,1.0402976481764012,63095.0,1.0,31547.5,996.905303030303,5343991.0,0.06486433414743227,11488.0,28523.0,318284.0,336164.0,1.056176245114426,63095.0,1.0,31547.5
5,BSBM,3198518,366255,102367027,7.922212411190096,40.72487829234802,7812930.0,0.07632272059634984,326247.0,18979.0,112524.0,486614.0,818358.0,1.6817395307163379,302084.0,526.0,573.214421252372,6273.9807692307695,6683627.0,0.06529081869301528,16966.0,67529.0,431479.0,447469.0,1.0370585822253227,63068.0,1.0,31534.0,1231.120754716981,6604132.0,0.06451425027709362,14832.0,35751.0,401364.0,421037.0,1.0490153576304801,63066.0,1.0,31533.0
6,BSBM,3829244,437334,122441687,7.9997242370558785,46.686772994363835,9288894.0,0.07586381915825775,389321.0,21501.0,116842.0,558663.0,989917.0,1.771939433970032,361579.0,464.0,777.589247311828,7345.679245283019,7978678.0,0.06516308453018946,20191.0,82359.0,520803.0,540084.0,1.0370216761424185,63076.0,1.0,31538.0,1469.1358490566038,7889244.0,0.064432663362438,16642.0,42750.0,481942.0,504303.0,1.0463976993082156,63076.0,0.0,63076.0
7,BSBM,4459938,508419,142516687,8.065913536184054,52.34316788152262,10669462.0,0.07486465076191394,452402.0,23678.0,128225.0,638243.0,1086798.0,1.7027965837463162,421371.0,413.0,1017.804347826087,8225.49090909091,9267514.0,0.06502757112225041,24848.0,92590.0,600466.0,631548.0,1.0517631306352067,63089.0,2.0,21029.666666666668,1700.7593984962407,9156965.0,0.06425187950095977,19427.0,52617.0,561073.0,585429.0,1.043409681093191,63089.0,1.0,31544.5
