Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,0,0,0,0,14,207422,207420,4166004,15,80,0,0,0,0,0
1,0,0,0,0,16,219690,219690,4470345,17,98,0,0,0,0,0
2,0,0,0,0,14,214266,214266,4314772,15,86,0,0,0,0,0
3,0,0,0,0,14,214473,214473,4296845,15,80,0,0,0,0,0
4,0,0,0,0,14,223559,223559,4443842,15,80,0,0,0,0,0
5,0,0,0,0,16,217628,217628,4316285,17,101,0,0,0,0,0
6,0,0,0,0,15,218288,218288,4332289,16,94,0,0,0,0,0
7,0,0,0,0,14,209523,209523,4147493,15,83,0,0,0,0,0
8,0,0,0,0,15,207568,207568,4114505,16,88,0,0,0,0,0
9,0,0,0,0,17,221638,221638,4405118,18,106,0,0,0,0,0
