Iteration,NewlyObservedSchema (SE_new),DeletedSchemaStructures (SE_del),ChangedSchemaStructures (SE_mod),InstanceAddedWithKnownSchema (PE_add),InstancesDeleted (PE_del),InstanceNotChanged (PE_mod),TotalNumberOfSchemaElementsWritten,TotalNumberOfSchemaElementsDeleted,TotalNumberOfNewInstances,ChangedSchemaStructuresBecauseOfNeighbor,TotalNumberOfChangedPayloadElements (real PE_mod),PayloadEntriesAdded,PayloadEntriesRemoved,InstanceToSchemaLinksAdded,InstanceToSchemaLinksRemoved
0,14,0,0,0,0,0,15,0,0,0,0,0,0,0,0 
1,2,0,26770,0,0,158854,2,0,0,0,0,0,0,0,0 
2,0,1,31739,0,0,174466,0,1,0,0,0,0,0,0,0 
3,0,0,31329,0,0,178780,0,0,0,0,0,0,0,0,0 
4,1,1,29162,0,0,152526,1,1,0,0,0,0,0,0,0 
5,0,1,29531,0,0,152381,0,1,0,0,0,0,0,0,0 
6,1,1,32700,0,0,178183,1,1,0,0,0,0,0,0,0 
7,1,0,31668,0,0,169378,1,0,0,0,0,0,0,0,0 
8,1,0,31066,0,0,177106,1,0,0,0,0,0,0,0,0 
9,0,2,26751,0,0,158911,0,2,0,0,0,0,0,0,0 
