Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,12335,8121,38465,2802,5934,67657,70738
1,21379,10340,24343,2682,7747,66491,88978
2,11971,12343,46033,3378,7295,81020,91536
3,11728,12474,45643,1647,7382,78874,74439
4,10515,14899,26597,2083,7142,61236,68218
5,22244,12146,25159,2091,7840,69480,79490
6,11014,20984,25362,1718,8077,67155,79560
7,12162,22076,25593,2746,8314,70891,95283
8,22632,11839,25382,2137,7971,69961,80451
9,12261,17052,27034,2254,7332,65933,77726
