Iteration;NewlyObservedSchema (SE_new);DeletedSchemaStructures (SE_del);ChangedSchemaStructures (SE_mod);InstanceAddedWithKnownSchema (PE_add);InstancesDeleted (PE_del);InstanceNotChanged (PE_mod);TotalNumberOfSchemaElementsWritten;TotalNumberOfSchemaElementsDeleted;TotalNumberOfNewInstances;ChangedSchemaStructuresBecauseOfNeighbor;TotalNumberOfChangedPayloadElements (real PE_mod);PayloadEntriesAdded;PayloadEntriesRemoved;InstanceToSchemaLinksAdded;InstanceToSchemaLinksRemoved
0;9956;0;0;0;0;0;16374;0;9957;0;9957;35601;0;9957;0 
1;3939;990;3046;0;0;5921;4485;4735;893;3031;1898;3077;20;3939;4036 
2;3756;1034;2832;0;0;5994;4373;4582;924;2822;1968;3248;11;3756;3866 
3;3453;1070;2504;0;0;6176;4111;4282;949;2488;2035;3477;22;3453;3574 
4;3282;1106;2299;0;0;6224;3957;4159;983;2283;2105;3452;38;3282;3405 
5;3197;1150;2184;0;0;6172;3898;4139;1013;2172;2175;3611;23;3197;3334 
6;3397;1192;2358;0;0;5819;4119;4381;1039;2345;2244;3879;22;3397;3550 
7;3280;1229;2215;0;0;5772;4019;4304;1065;2199;2310;3871;38;3280;3444 
8;3222;1268;2126;0;0;5658;3969;4268;1096;2114;2376;3740;36;3222;3394 
9;3084;1305;1970;0;0;5605;3856;4157;1114;1955;2434;4049;21;3084;3275 
10;3137;1344;2001;0;0;5344;3900;4286;1136;1989;2492;3839;25;3137;3345 
11;3065;1378;1914;0;0;5189;3860;4189;1151;1902;2541;4112;12;3065;3292 
12;3094;1403;1928;0;0;4923;3886;4292;1166;1910;2587;4236;44;3094;3331 
13;3089;1433;1919;0;0;4665;3906;4361;1170;1900;2622;4297;29;3089;3352 
14;2981;1462;1800;0;0;4492;3795;4240;1181;1790;2653;4341;19;2981;3262 
15;3020;1474;1835;0;0;4164;3867;4334;1185;1820;2674;4314;35;3020;3309 
16;3034;1489;1854;0;0;3841;3860;4360;1180;1843;2680;4047;31;3034;3343 
17;2889;1502;1720;0;0;3653;3694;4232;1169;1712;2679;3998;8;2889;3222 
18;2782;1494;1631;0;0;3417;3616;4151;1151;1615;2661;4073;34;2782;3125 
19;2817;1489;1683;0;0;3027;3601;4190;1134;1675;2631;3871;34;2817;3172 
20;2606;1470;1501;0;0;2873;3371;3917;1105;1492;2584;3950;20;2606;2971 
21;2489;1448;1423;0;0;2608;3212;3848;1066;1415;2522;3860;13;2489;2871 
22;2370;1417;1349;0;0;2331;3067;3687;1021;1342;2443;3635;11;2370;2766 
23;2300;1372;1333;0;0;1996;2957;3636;967;1326;2346;3425;4;2300;2705 
24;2089;1318;1180;0;0;1798;2703;3373;909;1171;2236;3191;6;2089;2498 
25;1968;1251;1121;0;0;1515;2578;3198;847;1115;2104;3033;7;1968;2372 
26;1713;1176;935;0;0;1372;2235;2893;778;929;1960;2849;17;1713;2111 
27;1558;1093;853;0;0;1139;2054;2668;705;847;1804;2589;22;1558;1946 
28;1342;1006;716;0;0;975;1747;2383;626;711;1637;2248;6;1342;1722 
29;1212;906;660;0;0;751;1603;2181;552;656;1462;1869;9;1212;1566 
30;974;806;498;0;0;659;1288;1824;476;496;1284;1602;5;974;1304 
31;841;705;441;0;0;487;1109;1624;400;440;1106;1406;0;841;1146 
32;683;602;354;0;0;372;921;1357;329;353;932;1027;1;683;956 
33;527;502;264;0;0;289;723;1081;263;264;765;941;0;527;766 
34;413;408;210;0;0;198;551;901;203;209;612;704;0;413;618 
35;317;320;165;0;0;126;420;703;152;165;472;545;0;317;485 
36;203;244;94;0;0;105;268;493;109;94;353;294;0;203;338 
37;143;178;68;0;0;62;195;355;75;68;253;261;0;143;246 
38;95;124;46;0;0;35;130;250;49;46;173;180;0;95;170 
39;64;83;34;0;0;13;84;173;30;34;113;130;0;64;117 
40;27;51;10;0;0;16;34;85;17;10;68;63;0;27;61 
41;17;30;8;0;0;5;21;54;9;8;39;31;0;17;38 
42;8;16;4;0;0;2;9;28;4;4;20;15;0;8;20 
43;3;7;1;0;0;2;3;10;2;1;9;9;0;3;8 
44;1;4;1;0;0;0;1;8;0;1;4;0;0;1;5 
45;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0 
46;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0 
47;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0 
48;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0 
49;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1 
