Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,1338,1276,1652,1389,78401,84056,78363
1,583,90,1090,795,75083,77641,87773
2,550,428,633,735,82396,84742,97247
3,498,517,475,681,79842,82013,104111
4,533,485,527,682,83200,85427,107927
5,405,445,455,652,83375,85332,109453
6,454,61,1041,676,92289,94521,110910
7,411,366,413,641,92465,94296,113080
8,399,37,729,631,94786,96582,113238
9,425,418,470,620,90591,92524,111327
10,395,356,483,588,93074,94896,107476
11,361,343,519,590,89694,91507,104723
12,451,418,366,608,89447,91290,99983
13,373,318,386,581,90855,92513,94530
14,358,413,392,656,87062,88881,89804
15,293,330,353,541,92369,93886,87920
16,305,47,686,534,87564,89136,79119
17,370,299,369,509,78650,80197,71915
18,302,330,350,521,75305,76808,66212
19,330,290,377,476,76961,78434,60510
20,254,46,681,435,67012,68428,52754
21,342,34,623,423,62229,63651,47443
22,249,28,461,453,56768,57959,41452
23,297,243,327,390,53947,55204,36252
24,279,22,532,449,47286,48568,30856
25,213,25,457,371,43884,44950,25731
26,192,181,211,333,34570,35487,21185
27,108,107,121,349,31252,31937,17728
28,111,80,130,328,24738,25387,13547
29,148,29,390,256,22579,23402,11190
30,111,16,208,244,16070,16649,7855
31,90,62,107,264,13266,13789,6515
32,43,58,79,191,11258,11629,4498
33,109,21,252,164,8043,8589,3302
34,116,16,234,129,5991,6486,2335
35,39,17,59,122,4640,4877,1744
36,26,84,103,93,2916,3222,1220
37,89,96,107,74,1999,2365,808
38,15,14,34,46,1267,1376,537
39,17,10,30,24,906,987,330
40,11,10,22,22,480,545,229
41,11,14,17,17,242,301,365
42,7,6,20,17,105,155,113
43,11,4,16,18,41,90,85
44,7,8,14,15,34,78,70
45,70,5,72,23,5,175,71
46,9,12,21,13,4,59,69
47,5,11,14,15,4,49,64
48,9,8,15,14,4,50,63
49,4,5,10,14,2,35,44
