Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,2337,531,4211,1682,167734,176495,168147
1,889,860,1050,968,193215,196982,182195
2,436,602,627,731,192579,194975,182904
3,566,54,922,726,188178,190446,183670
4,419,438,480,677,175801,177815,175233
5,476,444,363,640,155335,157258,162800
6,464,461,515,635,148880,150955,152769
7,482,411,468,580,129607,131548,135055
8,344,360,433,538,122316,123991,126296
9,355,46,661,533,107942,109537,109975
10,204,265,283,487,97758,98997,92894
11,267,255,265,490,82062,83339,81150
12,236,230,230,447,73414,74557,69038
13,231,272,314,366,66389,67572,59785
14,225,192,237,340,56625,57619,51162
15,215,25,356,325,47468,48389,39907
16,160,124,192,283,35746,36505,31869
17,145,160,163,269,27247,27984,24617
18,106,91,92,285,21536,22110,
