Iteration;NewlyObservedSchema (SE_new);DeletedSchemaStructures (SE_del);ChangedSchemaStructures (SE_mod);InstanceAddedWithKnownSchema (PE_add);InstancesDeleted (PE_del);InstanceNotChanged (PE_mod);TotalNumberOfSchemaElementsWritten;TotalNumberOfSchemaElementsDeleted;TotalNumberOfNewInstances;ChangedSchemaStructuresBecauseOfNeighbor;TotalNumberOfChangedPayloadElements (real PE_mod);PayloadEntriesAdded;PayloadEntriesRemoved;InstanceToSchemaLinksAdded;InstanceToSchemaLinksRemoved
0;9972;0;0;0;0;0;16377;0;9973;0;9973;35461;0;9973;0 
1;5879;1986;4284;0;0;3703;6866;7591;1595;4269;3596;5570;50;5879;6270 
2;4867;1814;3395;0;0;4373;5832;6437;1472;3382;3299;5205;26;4867;5209 
3;4271;1665;2914;0;0;4661;5132;5702;1357;2899;3037;4796;6;4271;4579 
4;3660;1525;2396;0;0;5011;4523;4896;1264;2382;2803;4305;17;3660;3921 
5;3457;1407;2279;0;0;4985;4246;4664;1178;2267;2597;4233;18;3457;3686 
6;3197;1298;2097;0;0;5047;3987;4265;1100;2084;2411;3927;55;3197;3395 
7;2859;1211;1831;0;0;5202;3557;3873;1029;1824;2247;3397;7;2860;3042 
8;2586;1125;1620;0;0;5317;3278;3511;966;1614;2097;3383;8;2586;2745 
9;2510;1047;1606;0;0;5250;3183;3369;904;1595;1960;3221;3;2510;2653 
10;2310;974;1462;0;0;5324;2917;3126;848;1448;1833;3023;29;2310;2436 
11;2221;908;1418;0;0;5308;2799;2964;803;1408;1721;2863;30;2221;2326 
12;2072;854;1316;0;0;5359;2621;2757;756;1307;1619;2646;11;2072;2170 
13;1943;797;1230;0;0;5404;2429;2593;713;1220;1520;2606;28;1943;2027 
14;1806;751;1131;0;0;5465;2302;2416;675;1124;1433;2580;10;1806;1882 
15;1808;708;1172;0;0;5391;2270;2415;636;1166;1350;2252;6;1808;1880 
16;1631;667;1029;0;0;5503;2060;2177;602;1025;1273;2094;6;1631;1696 
17;1559;624;989;0;0;5521;1942;2047;570;981;1202;1954;17;1559;1613 
18;1479;591;938;0;0;5551;1875;1963;541;934;1136;1786;8;1479;1529 
19;1348;558;836;0;0;5636;1733;1783;512;832;1074;1828;4;1348;1394 
20;1397;521;911;0;0;5552;1741;1818;486;902;1016;1698;38;1397;1432 
21;1220;498;761;0;0;5690;1596;1601;459;757;961;1671;1;1220;1259 
22;1200;468;763;0;0;5679;1517;1586;437;757;911;1568;17;1200;1231 
23;1153;444;738;0;0;5697;1472;1496;415;735;862;1527;11;1153;1182 
24;1125;417;732;0;0;5701;1434;1469;393;725;817;1303;14;1125;1149 
25;1100;396;724;0;0;5706;1372;1409;376;721;775;1358;4;1100;1120 
26;961;377;604;0;0;5825;1175;1272;357;603;735;1319;1;961;981 
27;938;356;603;0;0;5827;1197;1228;335;598;696;1241;10;938;959 
28;859;338;540;0;0;5887;1085;1128;319;536;661;1161;1;859;878 
29;845;321;539;0;0;5886;1070;1080;306;539;627;1119;0;845;860 
30;774;302;484;0;0;5945;996;1001;290;481;595;949;6;774;786 
31;778;288;505;0;0;5926;974;992;273;501;565;934;1;778;793 
32;733;272;471;0;0;5961;931;961;262;469;536;1065;8;733;743 
33;750;258;502;0;0;5934;935;956;248;500;508;907;1;750;760 
34;680;245;444;0;0;5995;867;868;236;442;483;789;1;680;689 
35;622;232;398;0;0;6045;801;816;224;396;458;761;1;622;630 
36;645;220;433;0;0;6014;815;817;212;430;435;688;2;645;653 
37;588;210;384;0;0;6065;754;739;204;384;414;720;0;588;594 
38;552;198;361;0;0;6094;688;703;191;358;392;690;2;552;559 
39;548;189;365;0;0;6092;684;709;183;364;373;571;0;548;554 
40;528;178;353;0;0;6109;660;672;175;351;355;556;3;528;531 
41;455;168;290;0;0;6179;561;579;165;287;336;644;2;455;458 
42;466;161;309;0;0;6164;596;599;157;307;320;499;6;466;470 
43;435;153;285;0;0;6192;551;550;150;284;304;544;2;435;438 
44;399;145;258;0;0;6224;526;522;141;255;289;465;1;399;403 
45;426;138;290;0;0;6195;510;538;136;290;274;479;0;426;428 
46;350;130;221;0;0;6270;460;457;129;220;260;445;9;350;351 
47;350;124;228;0;0;6268;440;444;122;227;247;425;2;350;352 
48;364;119;249;0;0;6250;464;461;115;248;235;363;0;364;368 
49;330;113;220;0;0;6281;409;421;110;219;224;423;0;330;333 
