Iteration;NewlyObservedSchema (SE_new);DeletedSchemaStructures (SE_del);ChangedSchemaStructures (SE_mod);InstanceAddedWithKnownSchema (PE_add);InstancesDeleted (PE_del);InstanceNotChanged (PE_mod);TotalNumberOfSchemaElementsWritten;TotalNumberOfSchemaElementsDeleted;TotalNumberOfNewInstances;ChangedSchemaStructuresBecauseOfNeighbor;TotalNumberOfChangedPayloadElements (real PE_mod);PayloadEntriesAdded;PayloadEntriesRemoved;InstanceToSchemaLinksAdded;InstanceToSchemaLinksRemoved
0;99;0;0;0;0;0;168;0;100;0;100;396;0;100;0 
1;55;20;39;0;0;41;58;74;16;39;36;65;0;55;59 
2;35;18;21;0;0;57;47;47;14;21;32;56;0;35;39 
3;46;15;34;0;0;43;52;57;12;33;28;30;1;46;49 
4;38;15;26;0;0;48;44;48;12;26;27;41;0;38;41 
5;33;14;22;0;0;50;40;43;11;22;25;31;0;33;36 
6;27;12;17;0;0;54;33;37;10;17;22;31;0;27;29 
7;15;11;5;0;0;65;19;23;10;5;21;41;0;15;16 
8;25;11;16;0;0;53;36;32;9;16;20;34;0;25;27 
9;26;10;17;0;0;51;33;35;9;17;19;39;0;26;27 
10;30;9;22;0;0;46;33;39;8;22;17;31;0;30;31 
11;16;9;8;0;0;59;22;21;8;8;17;34;0;16;17 
12;32;8;25;0;0;42;34;40;7;25;15;24;0;32;33 
13;15;7;8;0;0;59;22;19;7;8;14;25;0;15;15 
14;11;7;5;0;0;62;12;16;6;5;13;28;0;11;12 
15;13;7;7;0;0;59;19;18;6;7;13;16;0;13;14 
16;14;6;8;0;0;58;16;17;6;8;12;14;0;14;14 
17;8;6;3;0;0;63;10;13;5;3;11;13;0;8;9 
18;10;5;5;0;0;61;15;12;5;5;10;31;0;10;10 
19;20;5;15;0;0;51;23;26;5;15;10;19;0;20;20 
20;9;5;5;0;0;61;14;14;4;5;9;6;0;9;10 
21;9;5;5;0;0;60;13;14;4;5;9;10;0;9;10 
22;11;4;7;0;0;58;14;14;4;7;8;18;0;11;11 
23;9;4;5;0;0;60;13;13;4;5;8;20;0;9;9 
24;7;4;4;0;0;61;10;11;3;4;7;6;0;7;8 
25;9;3;6;0;0;59;12;11;3;6;6;11;0;9;9 
26;11;3;8;0;0;57;15;14;3;8;6;13;0;11;11 
27;13;3;10;0;0;55;18;16;3;10;6;19;0;13;13 
28;6;3;3;0;0;62;10;10;3;3;6;15;0;6;6 
29;8;3;5;0;0;60;10;10;3;5;6;14;0;8;8 
30;11;3;9;0;0;56;12;16;2;9;5;12;0;11;12 
31;6;2;4;0;0;61;8;8;2;4;4;3;0;6;6 
32;3;2;1;0;0;64;5;4;2;1;4;3;0;3;3 
33;6;2;4;0;0;61;6;8;2;4;4;7;0;6;6 
34;3;2;1;0;0;64;6;5;2;1;4;14;0;3;3 
35;5;2;3;0;0;62;6;6;2;3;4;6;0;5;5 
36;6;2;4;0;0;61;8;8;2;4;4;11;0;6;6 
37;9;2;7;0;0;58;10;11;2;7;4;6;0;9;9 
38;3;2;2;0;0;63;3;9;1;2;3;1;0;3;4 
39;5;1;4;0;0;61;6;6;1;4;2;1;0;5;5 
40;1;1;0;0;0;65;3;1;1;0;2;11;0;1;1 
41;1;1;0;0;0;65;1;1;1;0;2;1;0;1;1 
42;4;1;3;0;0;62;6;5;1;3;2;7;0;4;4 
43;3;1;2;0;0;63;4;4;1;2;2;8;0;3;3 
44;6;1;5;0;0;60;7;7;1;5;2;7;0;6;6 
45;1;1;0;0;0;65;2;1;1;0;2;2;0;1;1 
46;3;1;2;0;0;63;3;4;1;2;2;1;0;3;3 
47;1;1;0;0;0;65;1;1;1;0;2;5;0;1;1 
48;1;1;0;0;0;65;2;2;1;0;2;2;0;1;1 
49;1;1;0;0;0;65;2;1;1;0;2;1;0;1;1 
