Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,7211,51274768,0,51281979,111887,3435472,3435471,116185808,115684,452960,0,0,31688925,0,2800
1,7035,584441,171,591647,111541,3228961,3228933,100592177,115367,448840,0,0,279359,0,4477
2,4363,1485274,16,1489653,111954,3507224,3506932,116604485,115765,451752,0,0,947736,0,3361
3,8649,394737,45,403431,111585,3492781,3492781,115488603,115393,444461,0,0,23701,0,5018
4,6430,645629,39,652098,111564,3450659,3450659,112636209,115364,444567,0,0,362713,0,3607
5,6804,332507,159,339470,111312,3223252,3223252,102708083,115136,441913,0,0,120985,0,3613
6,5019,1434253,21,1439293,111420,3476487,3476246,115518538,115253,443217,0,0,872334,0,3690
7,5663,891106,15,896784,111284,3487983,3487983,114127515,115116,442431,0,0,523119,0,3897
8,7168,1411720,13,1418901,111649,3495212,3495212,115920741,115495,444755,0,0,872433,0,3251
9,5106,539884,142,545132,111095,3178334,3178334,102152705,114910,442621,0,0,335317,0,3847
10,5511,6642071,14,6647596,114753,3546004,3545835,120173730,118623,464108,0,0,4123784,0,3427
11,4270,1296752,162,1301184,111091,3209203,3209203,103700346,114902,442300,0,0,826061,0,7583
12,4635,1590712,16,1595363,111475,3484589,3484374,114812660,115317,444488,0,0,966570,0,3745
13,6349,555287,171,561807,111010,3163540,3163540,101229953,114826,441157,0,0,336292,0,3776
14,4073,761344,120,765537,110747,3007432,3007395,91793543,114553,440574,0,0,477127,0,3400
15,5692,2059900,23,2065615,111267,3456227,3455731,115416898,115108,443845,0,0,1266963,0,3666
16,9283,752100,19,761402,111327,3459835,3459835,113051315,115155,443126,0,0,398878,0,3859
17,4863,916891,13,921767,111405,3458585,3458585,113388016,115241,444383,0,0,557846,0,2980
18,5749,749160,27,754936,111391,3444793,3444771,113377117,115233,444252,0,0,446265,0,3732
19,5639,703845,108,709592,106874,3299151,3299149,104971186,109715,431095,0,0,416971,0,8388
20,4524,4618692,313,4623529,111022,2750875,2750872,98031630,114840,443023,0,0,2918885,0,3250
21,1073,107,1148,2328,2,2,2,534,4,7,0,0,104,0,87536
22,4303,55979159,0,55983462,109602,2479900,2479844,86025187,112441,451514,0,0,34861722,0,2920
23,4397,5405454,33,5409884,113765,2582836,2582829,91211996,117585,461677,0,0,3357152,0,4185
24,5743,1082990,20,1088753,113751,2596077,2596077,90485285,117567,461775,0,0,663406,0,3658
25,3595,460818,45,464458,110675,2537300,2537192,87987532,114480,442102,0,0,286808,0,7503
26,5048,605308,146,610502,110341,2235430,2235420,79603318,114151,439579,0,0,372300,0,3802
27,4295,377439,12,381746,110356,2264624,2264624,80122028,114158,439382,0,0,199034,0,3315
28,3992,487757,15,491764,110385,2272555,2272552,80661033,114195,439996,0,0,265845,0,3130
29,4180,1037551,25,1041756,110216,2251324,2251324,80281327,113993,440282,0,0,635499,0,3551
30,4003,6946063,52,6950118,113406,2259068,2259063,82930045,117228,460253,0,0,4275921,0,3500
31,3583,478366,11,481960,113468,2320630,2320593,83132963,117297,460539,0,0,285863,0,3424
32,5170,353654,17,358841,113424,2311082,2311082,82937405,117247,460308,0,0,166413,0,3291
33,5752,522317,55,528124,110323,2242639,2242639,79962701,114125,440430,0,0,267158,0,7017
34,6123,414061,16,420200,110320,2245642,2245642,79806177,114131,440380,0,0,231530,0,3247
35,5574,319334,10,324918,110226,2260903,2260903,80059525,114025,439936,0,0,136975,0,3063
36,4825,386843,19,391687,110290,2255200,2255200,80123166,114092,440378,0,0,194678,0,3202
37,2686,669050,62,671798,110139,2194306,2194301,78690555,113932,439811,0,0,413675,0,3249
38,3686,690266,71,694023,109882,2106549,2106549,76145803,113653,438934,0,0,425123,0,3436
39,3807,2170254,13,2174074,110213,2587333,2587290,90051941,113998,438283,0,0,1323953,0,4213
40,3762,1898566,22,1902350,110294,2560865,2560865,89222213,114094,439948,0,0,1185286,0,3362
41,8240,398638,17,406895,110259,2554432,2554426,87964446,114047,439554,0,0,160374,0,3456
42,3785,811363,114,815262,106197,2357509,2357472,79917220,109014,429513,0,0,513217,0,5944
43,4180,4364427,13,4368620,110352,2583956,2583930,90104304,114144,440034,0,0,2768428,0,3434
44,4240,682605,149,686994,109803,2259795,2259750,74619038,113569,436939,0,0,422253,0,4032
45,4176,1797155,125,1801456,106142,2353312,2353080,79571015,108937,429373,0,0,1121874,0,5365
46,9144,32126448,148,32135740,165316,3111242,3111238,107330076,169201,605461,0,0,19218527,0,38465
47,5687,20860982,567,20867236,109924,2394267,2394260,85159274,113698,438329,0,0,13091227,0,71193
48,3480,1160644,6,1164130,109905,2426156,2426156,84526588,113668,437579,0,0,723363,0,3431
49,5133,341385,17,346535,109883,2414732,2414731,83271121,113639,437299,0,0,156877,0,3036
50,5456,369875,46,375377,109436,2391861,2391860,83056627,113199,435346,0,0,170240,0,4410
