Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,364343,386276,384327,53171,2387910,3576028,4244125
1,368268,249523,456467,48639,279215,1402113,3465182
2,432624,452388,424049,54855,357347,1721263,3805106
3,408091,407983,449164,53190,320995,1639425,3609709
4,370075,131419,592215,52193,298299,1444203,3454968
5,413349,300446,533574,55607,308287,1611265,2960641
6,420864,307570,551427,56853,362738,1699454,3634652
7,379168,138992,583420,54852,298322,1454755,3287470
8,427628,308264,561312,57728,363987,1718921,3656254
9,320852,354036,327242,52283,269110,1323524,3142948
10,424464,437156,428624,59242,567130,1916617,3710765
11,339235,214868,460048,51203,299086,1364441,3180052
12,365485,251055,490518,53480,327423,1487961,3494846
13,413221,420179,402577,51244,315416,1602638,3407934
14,318522,337526,347147,52546,277388,1333131,3312831
15,448112,144449,707425,59213,377565,1736766,3681749
16,366234,259918,480940,53475,296589,1457157,3444183
17,368197,246196,478280,53415,304365,1450454,3282169
18,360937,392140,387581,57080,295830,1493570,3307988
19,323156,235237,420835,44492,272151,1295872,3122247
20,318356,296551,313734,50307,409876,1388826,3245630
23,293610,301154,286371,50936,437271,1369344,3260007
24,290986,205456,386185,50022,272246,1204896,3408749
25,298582,108820,468629,50478,233779,1160289,3045732
26,252725,280927,268160,45606,226598,1074017,2961894
27,285565,173126,351668,49960,222218,1082538,3057935
28,262309,255268,287189,48240,223692,1076698,2885835
29,279340,177930,361418,47476,244848,1111013,2944638
30,279613,88112,434131,48330,476026,1326212,3320485
31,284121,98852,443475,49255,231863,1107566,3152972
32,271326,197861,363490,50072,223983,1106734,3278393
33,275032,102895,431395,44587,229107,1083017,3017088
34,269313,260176,269570,45974,222933,1067967,2908429
35,285142,178995,350995,46591,219135,1080860,3047256
36,323078,7935,588276,49058,218689,1187037,3153472
37,276033,6901,505224,46656,224967,1059782,3036371
38,250854,172485,338408,44985,223133,1029867,2959619
39,288034,186458,381685,46932,305656,1208768,3042709
40,290856,184893,375156,48933,291074,1190914,2938088
41,287695,194194,376569,49325,227857,1135642,2987870
42,248416,87541,382707,38494,225080,982238,2778763
43,291307,193427,379025,48791,382496,1295048,3002964
44,257381,189469,346836,45207,236643,1075537,3019268
45,229473,249178,246270,39891,265369,1030181,2789342
46,311310,333877,331212,59729,1589686,2625815,3294284
47,263499,175513,341871,44953,1121132,1946970,2969509
48,261385,283090,264610,44912,260379,1114376,3022318
49,263732,180451,353375,44831,218089,1060479,2806514
50,261654,176712,333729,42883,216932,1031912,3003610
