Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,4368,4315,5098,5842,165245,184868,181992
1,2565,1362,3478,3394,172557,183357,138950
2,1935,1882,1963,2643,139034,147458,119875
3,2714,1259,3615,3654,160712,171955,146860
4,4663,2504,6663,5292,230365,249488,205388
5,5799,3215,8561,6667,322705,346948,262739
6,7202,3516,10892,8138,407194,436942,318381
7,7847,3866,11691,8868,508428,540700,365125
8,6667,6816,7049,7734,531736,560004,368085
9,5997,5986,6703,7636,529818,556141,367528
10,6039,5655,6090,8210,534876,560871,380130
11,5788,2854,8569,7119,545425,569755,383512
12,5698,265,10897,7328,557435,581625,395354
13,5932,3013,8433,7871,564438,589687,421476
14,6093,6084,6815,7834,587892,614719,448725
15,6148,6063,6374,8440,637202,664228,450407
16,6211,3290,9028,8222,658943,685695,492145
17,6863,3649,10432,8545,666402,695892,519009
18,7000,7135,7148,8829,667891,698003,523013
19,7043,6536,7237,9109,700259,730185,559743
20,7308,7150,7433,9620,706459,737971,575806
21,7422,354,14096,9968,746219,778060,605890
22,7410,318,14170,10447,744939,777286,643235
23,7338,3861,10749,10502,780868,813319,678658
24,7414,4151,11089,10740,799461,832856,693707
25,7624,3954,11807,10774,758605,792765,720565
26,7607,3859,11199,10893,758425,791984,705211
27,8029,329,15297,11464,769007,804128,738783
28,8035,4309,11785,11725,764458,800313,767241
29,8394,8157,7969,11166,746009,781696,788899
30,8761,373,16796,11463,804391,841785,794377
31,8466,4748,11766,11015,769269,805265,774982
32,8191,302,15873,11057,701251,736676,802282
33,8509,4019,12721,11570,726229,763050,825125
34,8003,4366,11740,11164,680683,715956,802331
35,8432,4812,12036,10979,641329,677590,809411
36,8257,7941,8372,11981,598208,634761,824753
37,8459,4613,12250,11922,590601,627846,842357
38,8618,4140,12420,11192,556784,593155,841153
39,8157,4509,11952,11353,571035,607006,837161
40,8148,8426,8527,11040,465388,501531,826055
41,7838,4179,12361,11125,518538,554042,824094
42,7804,7472,8360,12132,493162,528932,828035
43,7757,4032,12115,11837,436941,472684,835891
44,8260,8009,8079,11987,463794,500130,843664
45,8338,8255,8758,11195,412506,449053,847279
46,8253,4191,12643,11616,433589,470294,903119
47,8498,4489,12403,12289,438062,475742,898878
48,9211,8414,9199,11858,413915,452598,896719
49,9029,4107,13609,11983,406920,445650,905686
