Iteration,Update time,Reading time,Waiting time,Total time,SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Add time (ms),SG Del time (ms),SG Read time (ms)
0,146,42,5,193,4101,9488,9488,251621,4132,14933,31784960,618359,42719,66,20327
1,314,151,12,477,4495,9951,9951,267270,4526,15215,31784960,595946,20203,668,13845
2,160,78,12,250,4427,10482,10482,274748,4458,14193,31784960,520537,16176,904,11547
3,189,96,16,301,4563,11363,11363,297096,4594,14932,31784960,606234,17896,660,12027
4,210,124,6,340,4677,12403,12403,325247,4708,16123,31784960,984721,20690,626,14924
5,233,132,11,376,4714,13503,13503,351654,4745,16711,32178176,1348728,17213,630,12435
6,276,168,13,457,4827,14629,14629,379202,4858,17391,33226752,1705619,17342,627,12801
7,344,240,7,591,4996,15864,15864,409633,5027,18313,34340864,2036030,19414,613,14847
8,403,259,16,678,5526,16984,16984,440022,5557,19859,34406400,2022759,20581,578,15392
9,356,222,10,588,5891,18116,18116,469790,5922,20914,34406400,1936000,18371,601,14352
10,414,248,9,671,6162,19228,19228,497364,6193,21721,34406400,1874166,17467,617,13932
11,345,211,14,570,6432,20326,20326,525348,6463,22385,34406400,1876248,18240,616,14615
12,360,233,18,611,6607,21494,21494,553851,6638,22854,34406400,1911794,16684,646,13835
13,371,242,11,624,6700,22646,22646,580381,6731,23068,34406400,1972641,18881,654,16019
14,407,264,20,691,6819,23743,23743,606731,6850,23428,34406400,2030886,18876,614,16023
15,474,278,15,767,7001,24890,24890,634935,7032,24065,34406400,2103630,18004,588,15307
16,447,277,11,735,7213,25986,25986,660906,7244,24816,34406400,2188325,19360,591,16468
17,432,287,23,742,7284,27105,27105,686394,7315,24960,34406400,2267861,18105,605,15741
18,425,277,18,720,7451,28193,28193,712756,7482,25521,34406400,2353052,16528,553,14519
19,466,271,21,758,7603,29283,29283,741074,7634,25998,34406400,2439979,18349,560,16199
20,528,341,18,887,7694,30339,30339,763205,7725,26290,34406400,2527035,18443,573,16488
21,511,337,19,867,7848,31338,31338,791059,7879,26871,34406400,2610242,20267,532,18464
22,583,364,22,969,7971,32368,32368,811860,8002,27190,34406400,2691800,20045,560,18858
23,559,400,18,977,8087,33340,33340,834057,8118,27608,34406400,2767168,17052,664,15986
24,454,314,11,779,8212,34330,34330,859479,8243,28009,34406400,2844196,13926,508,13385
25,490,329,13,832,8267,35267,35267,879388,8298,28158,34406400,2907637,15460,608,14913
26,519,350,18,887,8282,36126,36126,899172,8313,28081,34406400,2965215,12411,491,12537
27,489,303,16,808,8340,37025,37025,918491,8371,28250,34406400,3014002,14046,446,14036
28,566,375,17,958,8448,37924,37924,939970,8479,28593,34406400,3058789,15709,468,15212
29,529,340,15,884,8522,38753,38753,960238,8553,28803,34406400,3105657,11833,421,12314
30,492,308,13,813,8570,39565,39565,975994,8601,28905,34406400,3137813,11336,425,11958
31,496,307,12,815,8700,40361,40361,1000614,8731,29310,34406400,3174799,16147,386,16686
32,471,292,18,781,8755,41110,41110,1012403,8786,29452,34406400,3203027,14082,398,14718
33,450,295,22,767,8852,41818,41818,1027171,8883,29691,34406400,3225309,12387,386,12924
34,440,316,18,774,8906,42498,42498,1042816,8937,29818,34406400,3238471,15269,489,16031
35,408,284,14,706,8859,43186,43186,1059966,8890,29501,34406400,3249386,12255,449,13979
36,475,309,31,815,8908,43823,43823,1069923,8939,29521,34406400,3261230,11874,364,12949
37,452,288,19,759,8865,44396,44396,1080966,8896,29343,34406400,3267098,11164,356,12820
38,384,226,11,621,8874,44974,44974,1092672,8905,29360,34406400,3265517,10159,324,11797
39,547,337,16,900,8889,45485,45485,1102762,8920,29338,34406400,3261156,10521,331,12277
40,474,292,12,778,8878,45985,45985,1114368,8909,29239,34406400,3255192,8446,305,10200
41,470,292,16,778,8898,46479,46479,1123071,8929,29253,34406400,3256619,9618,286,11541
42,444,289,18,751,8957,46954,46954,1134344,8988,29388,34406400,3267013,10646,335,12777
43,461,305,11,777,9006,47459,47459,1147613,9037,29572,37027840,3284357,9273,268,11203
44,477,274,11,762,9084,47955,47955,1156118,9115,29849,37027840,3307821,8138,258,9865
45,381,256,12,649,9127,48410,48410,1167055,9158,29968,37027840,3334973,8561,276,10320
46,430,279,11,720,9151,48865,48865,1176920,9182,30047,37027840,3372845,8056,235,10403
47,396,254,15,665,9176,49307,49307,1188500,9207,30136,37027840,3414427,11270,309,13865
48,417,259,16,692,9205,49721,49721,1196216,9236,30291,37027840,3457568,8859,253,10794
49,298,190,12,500,9241,50111,50111,1203728,9272,30449,37027840,3495544,7879,219,10217
