Iteration,NewlyObservedSchema (SE_new),DeletedSchemaStructures (SE_del),ChangedSchemaStructures (SE_mod),InstanceAddedWithKnownSchema (PE_add),InstancesDeleted (PE_del),InstanceNotChanged (PE_mod),TotalNumberOfSchemaElementsWritten,TotalNumberOfSchemaElementsDeleted,TotalNumberOfNewInstances,ChangedSchemaStructuresBecauseOfNeighbor,TotalNumberOfChangedPayloadElements (real PE_mod),PayloadEntriesAdded,PayloadEntriesRemoved,InstanceToSchemaLinksAdded,InstanceToSchemaLinksRemoved
0,1376,0,0,0,0,0,1405,0,9864,0,9864,22103,0,9864,0 
1,486,49,2756,0,0,6107,486,167,1864,839,4778,2567,2021,4620,3757 
2,424,75,2778,0,0,6906,424,240,1960,928,4909,2695,2053,4738,3821 
3,405,67,2688,0,0,7867,405,235,2051,835,4978,2832,1978,4739,3777 
4,366,82,2788,0,0,8692,367,245,2120,702,5181,2932,2065,4908,3914 
5,379,73,2928,0,0,9502,379,263,2180,792,5312,3089,2131,5108,4098 
6,332,70,2836,0,0,10583,332,236,2248,748,5320,3191,2008,5084,4027 
7,342,69,2906,0,0,11530,342,245,2306,653,5514,3317,2123,5212,4137 
8,328,70,3079,0,0,12399,328,261,2359,686,5644,3370,2152,5438,4343 
9,277,64,3007,0,0,13581,278,231,2396,579,5625,3376,2117,5403,4256 
10,331,53,3069,0,0,14641,331,229,2443,646,5657,3521,2077,5512,4343 
11,340,62,3011,0,0,15856,340,251,2461,561,5653,3563,2044,5472,4297 
12,285,60,3117,0,0,16909,285,195,2472,647,5675,3541,2046,5589,4419 
13,319,70,3117,0,0,18071,319,254,2487,638,5694,3644,2020,5604,4427 
14,331,57,3226,0,0,19139,331,247,2490,672,5753,3640,2094,5716,4536 
15,300,66,3221,0,0,20324,300,217,2483,660,5726,3573,2062,5704,4531 
16,254,61,3155,0,0,21556,254,218,2481,594,5705,3587,2040,5636,4472 
17,241,59,3092,0,0,22812,241,215,2468,654,5593,3509,1950,5560,4380 
18,245,47,2961,0,0,24127,245,169,2439,556,5378,3499,1758,5400,4245 
19,212,69,3082,0,0,25155,212,213,2408,620,5405,3424,1814,5490,4372 
20,233,40,2899,0,0,26505,233,151,2371,561,5256,3401,1741,5270,4140 
21,233,52,3092,0,0,27452,233,161,2339,557,5306,3307,1864,5431,4323 
22,209,37,2971,0,0,28692,209,169,2297,516,5249,3246,1811,5268,4191 
23,218,38,2838,0,0,29911,218,166,2266,533,5044,3211,1665,5104,4049 
24,204,39,2795,0,0,31051,204,163,2213,522,4896,3117,1600,5008,3964 
25,212,48,2789,0,0,32115,212,145,2161,479,4837,2991,1616,4950,3944 
26,204,36,2721,0,0,33231,204,155,2108,504,4659,2967,1519,4829,3834 
27,161,30,2715,0,0,34249,161,137,2057,495,4607,2869,1541,4772,3811 
28,181,42,2588,0,0,35371,181,147,2011,484,4449,2812,1456,4599,3650 
29,184,31,2531,0,0,36398,184,126,1958,407,4325,2719,1415,4489,3572 
30,165,24,2551,0,0,37307,165,127,1891,447,4318,2529,1475,4442,3580 
31,142,22,2255,0,0,38494,142,97,1838,342,4055,2493,1275,4093,3255 
32,153,26,2434,0,0,39190,153,134,1779,427,4026,2404,1359,4213,3397 
33,157,30,2344,0,0,40137,157,113,1729,406,3885,2326,1289,4073,3266 
34,129,23,2261,0,0,41041,129,123,1664,403,3762,2219,1274,3925,3169 
35,135,33,1993,0,0,42109,135,101,1598,335,3540,2118,1139,3591,2857 
36,109,34,2031,0,0,42829,109,102,1539,334,3470,1993,1166,3570,2871 
37,110,24,1972,0,0,43613,110,100,1480,328,3345,1904,1113,3452,2786 
38,128,21,1849,0,0,44425,128,87,1424,307,3156,1802,981,3273,2640 
39,73,21,1649,0,0,45308,73,77,1381,289,2956,1749,874,3030,2390 
40,81,23,1679,0,0,45917,81,99,1321,288,2934,1691,924,3000,2421 
41,85,19,1654,0,0,46574,85,75,1263,254,2783,1601,867,2917,2343 
42,82,26,1477,0,0,47342,82,77,1205,226,2618,1521,781,2682,2149 
43,83,12,1476,0,0,47912,83,74,1162,239,2560,1464,790,2638,2112 
44,73,14,1351,0,0,48573,73,61,1105,206,2423,1360,728,2456,1977 
45,78,16,1405,0,0,49029,78,65,1063,223,2381,1309,764,2468,2000 
46,80,15,1270,0,0,49653,80,60,1010,183,2270,1244,722,2280,1844 
47,68,14,1277,0,0,50101,68,70,971,190,2138,1194,648,2248,1832 
48,71,20,1169,0,0,50644,72,63,923,173,2072,1095,646,2092,1705 
49,49,14,1121,0,0,51098,49,50,881,186,1975,1056,617,2002,1638 
