Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,81309,42212,113569,30659,109073,376822,367473
1,27009,29392,28265,15164,39974,139804,164485
2,22559,1005,41637,14947,36161,116309,162570
3,20506,18971,19956,11852,36318,107603,146230
4,16975,15039,15991,11202,30753,89960,137525
5,12915,11501,12598,9768,26877,73659,109085
6,8466,8545,10006,8769,22587,58373,100920
7,7950,431,14649,6789,20579,50398,81543
8,6297,6616,6664,6625,20734,46936,66087
9,5276,4601,4721,5017,17264,36879,56847
10,4105,4047,4357,4247,16764,33520,45609
11,2773,2571,2721,3694,18816,30575,40386
12,2394,151,4448,3711,29887,40591,52693
13,2987,3085,3438,5877,85689,101076,109949
14,7290,8333,7507,13088,210410,246628,280785
15,21419,18967,20724,29398,282620,373128,432712
16,33452,30976,32960,49561,348369,495318,612222
17,27181,24773,26773,46458,531668,656853,781125
18,23264,25872,24786,62128,673853,809903,950778
19,32385,1802,59088,68438,788603,950316,1222580
20,43623,49163,47215,107813,954527,1202341,1526859
21,77979,71118,75105,129706,1119037,1472945,1814992
22,118050,120374,140571,218543,1269695,1867233,2263040
