Iteration,NewlyObservedSchema (SE_new),DeletedSchemaStructures (SE_del),ChangedSchemaStructures (SE_mod),InstanceAddedWithKnownSchema (PE_add),InstancesDeleted (PE_del),InstanceNotChanged (PE_mod),TotalNumberOfSchemaElementsWritten,TotalNumberOfSchemaElementsDeleted,TotalNumberOfNewInstances,ChangedSchemaStructuresBecauseOfNeighbor,TotalNumberOfChangedPayloadElements (real PE_mod),PayloadEntriesAdded,PayloadEntriesRemoved,InstanceToSchemaLinksAdded,InstanceToSchemaLinksRemoved
0,127,0,0,0,0,0,128,0,9474,0,9474,13708,0,9474,0 
1,0,0,1600,0,1001,6873,0,0,1484,0,2232,1638,761,3085,2601 
2,0,0,1598,0,1035,7324,0,0,1571,0,2252,1753,686,3169,2633 
3,0,0,1499,0,1064,7930,0,0,1664,0,2266,1847,609,3163,2563 
4,0,0,1552,0,1086,8455,0,0,1748,0,2353,1962,609,3300,2638 
5,0,0,1495,0,1160,9100,0,0,1944,0,2561,2253,621,3439,2655 
6,0,0,1545,0,1182,9812,0,0,2099,0,2633,2595,538,3644,2727 
7,0,0,1566,0,1180,10710,0,0,2243,0,2778,2921,538,3809,2746 
8,0,0,1604,0,1230,11685,0,0,2327,0,2766,3153,442,3931,2834 
9,0,0,1674,0,1232,12710,0,0,2412,0,2924,3582,516,4086,2906 
10,0,0,1685,0,1283,13828,0,0,2445,0,2924,3643,481,4130,2968 
11,0,0,1818,0,1270,14870,0,0,2469,0,3016,3617,550,4287,3088 
12,0,0,1870,0,1273,16014,0,0,2480,0,2995,3715,518,4350,3143 
13,0,0,1740,0,1265,17359,0,0,2489,0,3016,3680,529,4229,3005 
14,0,0,1791,0,1256,18541,0,0,2504,0,3023,3689,522,4295,3047 
15,0,0,1818,0,1270,19748,0,0,2487,0,2951,3720,466,4305,3088 
16,0,0,1824,0,1267,20962,0,0,2487,0,2955,3737,474,4311,3091 
17,0,0,1956,0,1270,22047,0,0,2465,0,2974,3675,513,4421,3226 
18,0,0,1883,0,1253,23332,0,0,2445,0,2904,3648,464,4328,3136 
19,0,0,1963,0,1241,24456,0,0,2423,0,2893,3599,472,4386,3204 
20,0,0,1952,0,1248,25642,0,0,2398,0,2868,3525,473,4350,3200 
21,0,0,1944,0,1221,26827,0,0,2352,0,2754,3465,403,4296,3165 
22,0,0,1858,0,1179,28086,0,0,2307,0,2714,3345,411,4165,3037 
23,0,0,1888,0,1174,29189,0,0,2275,0,2688,3269,415,4163,3062 
24,0,0,1831,0,1153,30368,0,0,2225,0,2611,3246,388,4056,2984 
25,0,0,1811,0,1114,31499,0,0,2174,0,2546,3124,373,3985,2925 
26,0,0,1757,0,1098,32629,0,0,2126,0,2477,3006,352,3883,2855 
27,0,0,1686,0,1059,33767,0,0,2073,0,2446,2924,374,3759,2745 
28,0,0,1733,0,1058,34735,0,0,2014,0,2360,2875,347,3747,2791 
29,0,0,1776,0,1012,35694,0,0,1967,0,2285,2712,319,3743,2788 
30,0,0,1544,0,996,36897,0,0,1908,0,2228,2665,322,3452,2540 
