Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,2702,2684,3393,929,1847,11555,10579
1,1495,1606,1675,417,1916,7109,8507
2,1289,1403,1470,389,1534,6085,7465
3,1285,126,2373,378,1340,5502,7142
4,1219,1125,1304,385,1283,5316,7192
5,1134,117,2145,375,1230,5001,6927
6,1177,1141,1206,405,1257,5186,7435
7,1289,127,2450,438,1373,5677,7741
8,1497,144,2856,478,1598,6573,8646
9,1803,1751,1825,597,1850,7826,9799
10,2156,229,3991,605,2100,9081,11124
11,2435,2280,2573,660,2444,10392,12302
12,2510,2698,2796,730,2720,11454,13349
13,2739,2992,3099,755,2986,12571,14562
14,3061,3013,3564,803,3181,13622,14962
15,3507,317,6581,956,3582,14943,16206
16,3502,3791,3907,907,3750,15857,17914
17,3766,3946,4061,951,4006,16730,18601
18,4186,382,7833,1005,4138,17544,19813
19,4420,395,8282,1081,4591,18769,19959
20,4500,413,8398,1073,4697,19081,20336
21,4426,4285,5158,1101,4881,19851,21971
22,4858,437,9029,1190,5074,20588,22682
23,4561,4674,5439,1196,5189,21059,22970
24,4878,5173,5251,1228,5330,21860,24431
25,5348,4959,5547,1276,5330,22460,24033
26,5438,491,10200,1291,5513,22933,25040
27,5772,501,10698,1458,5545,23974,25779
28,5811,5471,5897,1543,5684,24406,26473
29,5815,513,10860,1433,5941,24562,28292
30,5906,6248,6321,1551,5779,25805,
