Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,29,3255,0,3284,127,9474,9473,185525,128,448,0,0,1543,0,63
1,36,4967,1080,6083,127,9957,9957,202755,128,448,0,0,0,0,43
2,36,2464,482,2982,127,10493,10493,211484,128,448,0,0,0,0,40
3,32,1776,415,2223,127,11093,11093,222610,128,448,0,0,0,0,37
4,30,1421,349,1800,127,11755,11755,235226,128,448,0,0,0,0,37
5,23,1159,359,1541,127,12539,12539,248802,128,448,0,0,0,0,39
6,22,1026,313,1361,127,13456,13456,267888,128,448,0,0,0,0,38
7,18,1190,339,1547,127,14519,14519,289535,128,448,0,0,0,0,37
8,23,1513,365,1901,127,15616,15616,311540,128,448,0,0,0,0,37
9,31,1776,450,2257,127,16796,16796,334448,128,448,0,0,0,0,36
10,41,2541,580,3162,127,17958,17958,359814,128,448,0,0,0,0,36
11,42,3120,643,3805,127,19157,19157,384006,128,448,0,0,0,0,34
12,56,4069,826,4951,127,20364,20364,408170,128,448,0,0,0,0,36
13,60,4299,844,5203,127,21588,21588,433143,128,448,0,0,0,0,36
14,51,5079,938,6068,127,22836,22836,458930,128,448,0,0,0,0,36
15,74,6803,1199,8076,127,24053,24053,484079,128,448,0,0,0,0,39
16,62,6243,1146,7451,127,25273,25273,508302,128,448,0,0,0,0,34
17,60,7416,1244,8720,127,26468,26468,533489,128,448,0,0,0,0,34
18,89,7271,1271,8631,127,27660,27660,556931,128,448,0,0,0,0,35
19,91,8959,1573,10623,127,28842,28842,581644,128,448,0,0,0,0,35
20,95,8972,1507,10574,127,29992,29992,604586,128,448,0,0,0,0,36
21,99,9354,1608,11061,127,31123,31123,627650,128,448,0,0,0,0,35
22,123,10029,1741,11893,127,32251,32251,650393,128,448,0,0,0,0,43
23,130,10047,1638,11815,127,33352,33352,672239,128,448,0,0,0,0,38
24,207,9609,1557,11373,127,34424,34424,692749,128,448,0,0,0,0,33
25,122,9505,1608,11235,127,35484,35484,713835,128,448,0,0,0,0,35
26,124,9864,1576,11564,127,36512,36512,736525,128,448,0,0,0,0,34
27,124,8989,1514,10627,127,37526,37526,753606,128,448,0,0,0,0,36
28,128,9691,1604,11423,127,38482,38482,773332,128,448,0,0,0,0,44
29,131,10081,1551,11763,127,39437,39437,792795,128,448,0,0,0,0,44
30,117,8288,1391,9796,127,40349,40349,809362,128,448,0,0,0,0,94
