Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
10,2041,2102,2394,552,1145,8234,10706
11,2369,2292,2694,603,1243,9201,10697
12,2746,245,5180,653,1383,10207,12273
13,2866,3031,3058,753,1494,11202,13218
14,3121,3321,3459,759,1600,12260,14751
15,3581,3322,3693,805,1756,13157,15407
16,3812,333,7093,885,1831,13954,16511
17,3746,4047,4164,885,1932,14774,16740
18,4299,4063,4350,937,2051,15700,17545
19,4267,4499,4537,987,2166,16456,19004
20,4407,4681,4733,1088,2252,17161,19304
21,4863,414,9118,1091,2330,17816,20329
22,4732,4922,5541,1092,2503,18790,21593
23,5201,439,9764,1133,2533,19070,21343
24,5537,5250,5609,1245,2593,20234,21858
25,5274,5662,5784,1201,2740,20661,22724
26,5433,5852,5995,1235,2834,21349,23512
27,5575,5974,6134,1376,2796,21855,25148
28,6027,5632,6169,1318,2876,22022,24767
29,5868,6189,6357,1352,2922,22688,25400
30,5794,5876,6806,1372,2967,22815,25871
31,6427,575,12058,1470,3049,23579,26676
32,6300,5880,6427,1425,3142,23174,25945
33,5942,6011,6853,1461,3208,23475,27538
34,5866,6310,6457,1489,3215,23337,26259
35,6499,516,12118,1503,3208,23844,26601
36,6544,514,12257,1537,3322,24174,26953
37,6523,526,12049,1529,3278,23905,27467
38,6091,6520,6677,1630,3327,24245,27059
39,6197,6562,6663,1656,3345,24423,28292
40,6202,6534,6635,1567,3394,24332,28893
41,6368,520,12038,1584,3389,23899,27544
42,6649,608,12302,1571,3405,24535,27649
43,6548,530,12269,1705,3381,24433,27310
44,6527,6155,6670,1605,3374,24331,27665
45,6496,6119,6570,1614,3476,24275,27474
46,6150,6170,7071,1608,3490,24489,27787
47,6443,586,12026,1615,3396,24066,28801
48,5994,6343,6490,1613,3398,23838,27840
49,6322,5873,6435,1715,3418,23763,28154
