,SE-ADD,SE-DEL,SE-MOD,SE-unchanged,instances,stability-ratio,change-ratio,update-ratio
schemex:min,55.0,0.0,0.0,0.0,7328.0,0.0,0.8460698689956332,0.0477843341432373
schemex:max,15783.0,15783.0,1137778.0,85407.0,1286066.0,0.1539301310043668,1.0,7.1688311688311686
schemex:mean,1929.2926829268292,1920.4634146341464,557758.2926829269,41647.60975609756,630716.1463414634,0.06716904002283888,0.9328309599771613,0.6241534063580231
schemex:std,3576.729548371686,3581.13926773004,357510.1890844682,26316.149166318053,384445.82999270264,0.024261106985542746,0.02426110698554274,1.2968326774995764
AttributeCollection:min,0.0,0.0,0.0,0.0,7328.0,0.0,3.06516228501718e-06,0.0
AttributeCollection:max,48.0,4.0,10525.0,1222984.0,1286066.0,0.999996934837715,1.0,0.9795918367346939
AttributeCollection:mean,2.097560975609756,0.926829268292683,970.4146341463414,598381.0243902439,630716.1463414634,0.8893514576147054,0.11064854238529451,0.05232764480723817
AttributeCollection:std,7.439102358647789,1.1702615926031033,2683.9555694497794,381697.37983090006,384445.82999270264,0.21710197294588987,0.21710197294588987,0.14956900789713656
TypeCollection:min,0.0,0.0,0.0,0.0,7328.0,0.0,3.06516228501718e-06,0.0
TypeCollection:max,513.0,513.0,30021.0,1222984.0,1286066.0,0.999996934837715,1.0,4.869565217391305
TypeCollection:mean,51.58536585365854,51.02439024390244,2744.756097560976,596606.8780487805,630716.1463414634,0.885483856116142,0.11451614388385808,0.5238052653596266
TypeCollection:std,113.75631314563516,113.95733583338942,7629.604746579234,381016.1674476029,384445.82999270264,0.21699091761535938,0.21699091761535938,1.0559209643399199
