,SE-ADD,SE-DEL,SE-MOD,SE-unchanged
schemex:min,51,0,0,0
schemex:max,293,69,762653,1094234
schemex:mean,85.2,56.9,646807.0,926708.8
schemex:std,73.2193052866979,20.70131504142779,229354.82128110778,328775.8517473231
AttributeCollection:min,0,0,0,0
AttributeCollection:max,28,4,303352,1553384
AttributeCollection:mean,4.1,1.4,256524.9,1316857.6
AttributeCollection:std,8.46496045800307,1.1737877907772674,91011.1492040032,467070.9334494899
TypeCollection:min,0,0,0,0
TypeCollection:max,53,7,143116,1713643
TypeCollection:mean,9.1,4.1,121655.3,1451690.5
TypeCollection:std,15.552420318965718,2.330951164939612,43133.18727448223,514936.1520079186
