,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch,Seepdup
schemex:min,5.282133333333333,0.32995,5.6902333333333335,1.5577333333333334,4.627766666666667,23.919666666666668,25.41425,1.2397833333333317
schemex:max,6.331083333333334,6.229116666666667,11.356766666666665,1.8030000000000002,5.072649999999999,24.36616666666667,25.97895,1.824633333333331
schemex:mean,5.892918333333332,3.6498933333333334,8.100921666666668,1.659828333333333,4.87566,24.179221666666663,25.753384999999998,1.5741633333333322
schemex:std,0.3221980211649237,2.8595983972134404,2.7436533299267056,0.06950198240800025,0.12532246928879884,0.1399163030348436,0.19636835166072666,0.17988199660806414
AttributeCollection:min,5.469433333333333,0.32405,5.677833333333334,1.5438,4.3033166666666665,23.27975,24.983283333333336,1.6797666666666693
AttributeCollection:max,6.289116666666667,6.088433333333333,11.013433333333333,1.6895,4.48415,23.995166666666666,26.1586,2.1735000000000007
AttributeCollection:mean,5.928789999999999,4.113981666666667,7.511548333333335,1.5901583333333336,4.37393,23.518408333333333,25.370101666666667,1.851693333333334
AttributeCollection:std,0.28058221492698593,2.625458723968508,2.4221402422346374,0.04857326415571367,0.06390122190141447,0.2333566717494916,0.325496233640571,0.17611172716331044
TypeCollection:min,5.335,0.2971166666666667,5.8937333333333335,1.3097833333333333,2.5324,21.157116666666663,23.17125,1.495116666666668
TypeCollection:max,6.323483333333333,6.1463,11.394083333333333,1.4450333333333334,2.8962999999999997,22.137333333333334,24.205750000000002,2.2040833333333367
TypeCollection:mean,5.851445000000001,4.6384549999999996,7.2369200000000005,1.394428333333333,2.816375,21.93762333333333,23.660063333333333,1.7224400000000002
TypeCollection:std,0.3576374459129466,2.2938925574773554,2.1763045525714477,0.03574831866028161,0.10661650853397571,0.2909903076532768,0.2772835623297413,0.23293785429372263
