Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,3383,3333,3823,942,2278,13759,12236
1,27126,24612,26976,3069,13579,95362,93810
2,47477,51089,45627,6912,27484,178589,182778
3,76056,64597,72700,9716,39957,263026,276193
4,89528,94587,96115,13523,53637,347390,361389
5,111434,119311,116239,16966,67529,431479,447469
6,137458,141475,139320,20191,82359,520803,540084
7,169272,159154,154602,24848,92590,600466,631548
8,189788,9278,361594,26821,112509,699990,717618
9,212338,200548,208259,31538,121881,774564,807908
10,215962,240490,234214,35339,134928,860933,888896
11,232104,266522,262660,40474,145016,946776,985515
12,253664,292390,286355,42650,156543,1031602,1086756
13,313622,15344,570710,47198,170567,1117441,1162853
14,329572,16375,624301,55279,183805,1209332,1254267
15,356784,16706,659603,50724,200838,1284655,1345430
16,354214,376591,379920,58117,214449,1383291,1430056
17,374212,403629,397617,65038,223081,1463577,1519696
18,425235,22767,797199,69038,232317,1546556,1604508
19,430455,402474,480521,71128,249987,1634565,1707783
20,475758,24262,882846,91400,258269,1732535,1806848
21,457967,22025,829404,73680,254909,1637985,1706478
22,432570,20783,793998,69485,236013,1552849,1610354
23,382825,409581,376900,60980,224727,1455013,1521066
24,347237,386513,372108,56427,211868,1374153,1438740
25,353001,333933,343893,58262,198996,1288085,1343901
26,324929,16111,620814,51609,187031,1200494,1247824
27,305423,290494,309485,48386,174760,1128548,1176234
28,297220,15005,573889,44449,160777,1091340,1071350
29,266901,235524,263026,38890,147236,951577,985497
30,214072,240867,241435,32690,134046,863110,890238
31,202514,201143,221945,29943,118384,773929,803302
32,171166,179549,201095,26509,104986,683305,715203
33,150554,165834,166868,23551,91852,598659,625273
34,130260,143639,143181,17664,77434,512178,534840
35,107997,111996,126621,18113,65825,430552,451241
36,91319,85371,103081,12849,51929,344549,362999
37,70496,66911,71260,9243,42276,260186,267943
38,41956,46554,44433,6898,26688,166529,182512
39,25202,1262,43973,3271,15943,89651,89977
40,2370,2727,2716,375,1530,9718,10586
