Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,3395,3328,4206,821,939,12689,10724
1,24235,28200,25721,3063,7631,88850,89325
2,45556,45819,52445,6048,14244,164112,172331
3,70866,72691,67798,9037,21005,241397,254539
4,91655,84693,101925,11488,28523,318284,336164
5,113186,110724,126871,14832,35751,401364,421037
6,136451,128247,157852,16642,42750,481942,504303
7,149324,172287,167418,19427,52617,561073,585429
8,181493,191254,186281,25078,55550,639656,671747
9,198925,217811,213602,27202,66697,724237,746459
10,214524,229075,255231,31281,72797,802908,833868
11,243654,266831,263310,35984,85866,895645,925808
12,272334,287991,285181,42245,88282,976033,1001489
13,278961,303867,328839,40421,99934,1052022,1084166
14,324180,340997,309453,42918,108905,1126453,1167698
15,331791,341240,377699,48842,112627,1212199,1243601
16,340337,388574,386597,52485,122645,1290638,1351720
17,412650,19229,760675,56556,130519,1379629,1416305
18,442260,19399,795295,56901,132785,1446640,1508887
19,461087,20999,838464,59706,145285,1525541,1593158
20,491668,426600,482851,68034,225222,1694375,1777530
21,478572,20936,867605,65960,155233,1588306,1688319
22,408585,410452,456549,59025,178688,1513299,1581282
23,425427,18760,780649,57351,135979,1418166,1476237
24,368528,399827,388937,53545,132124,1342961,1396636
25,350138,372920,348671,49973,116949,1238651,1287167
26,313986,349326,335441,47032,102209,1147994,1190814
27,318391,299334,315675,40299,108149,1081848,1127975
28,286542,307689,306445,41565,100406,1042647,1031667
29,256707,285888,273364,30604,78622,925185,955297
30,229970,246355,241827,28085,74994,821231,855844
31,201728,216846,215916,27191,68319,730000,782820
32,201532,182554,193803,25133,64397,667419,697605
33,171476,8297,324222,21233,54422,579650,603044
34,140222,149512,146103,20505,45315,501657,519833
35,115047,125688,119566,15883,36903,413087,427320
36,98902,91093,97679,12939,28880,329493,339640
37,75844,3814,136496,9902,21286,247342,251443
38,45139,49368,50242,5534,14903,165186,169331
39,26513,1207,46323,3117,7164,84324,87703
40,2523,180,4914,354,835,8806,9708
