Iteration,NewlyObservedSchema (SE_new),DeletedSchemaStructures (SE_del),ChangedSchemaStructures (SE_mod),InstanceAddedWithKnownSchema (PE_add),InstancesDeleted (PE_del),InstanceNotChanged (PE_mod),TotalNumberOfSchemaElementsWritten,TotalNumberOfSchemaElementsDeleted,TotalNumberOfNewInstances,ChangedSchemaStructuresBecauseOfNeighbor,TotalNumberOfChangedPayloadElements (real PE_mod),PayloadEntriesAdded,PayloadEntriesRemoved,InstanceToSchemaLinksAdded,InstanceToSchemaLinksRemoved
0,14,0,0,0,0,0,15,0,0,0,0,0,0,0,0 
1,2,0,22016,0,0,113028,2,0,0,0,0,0,0,0,0 
2,1,3,22822,0,0,118163,1,3,0,0,0,0,0,0,0 
3,1,1,23794,0,0,124547,1,1,0,0,0,0,0,0,0 
4,0,0,23728,0,0,122492,0,0,0,0,0,0,0,0,0 
5,2,0,22220,0,0,116138,2,0,0,0,0,0,0,0,0 
6,0,1,24684,0,0,130625,0,1,0,0,0,0,0,0,0 
7,1,2,22514,0,0,116880,1,2,0,0,0,0,0,0,0 
8,2,1,21636,0,0,111510,2,1,0,0,0,0,0,0,0 
9,2,0,23376,0,0,121510,2,0,0,0,0,0,0,0,0 
