Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,35592,31545,36297,4287,20973,128694,135842
1,38266,34130,38247,2300,22525,135468,145138
2,37432,2649,68468,1745,21676,131970,140961
3,36812,33075,37497,2902,22989,133275,144697
4,37980,2469,69480,2834,23398,136161,143735
5,36498,2406,66616,2486,22674,130680,140401
6,36699,2291,66678,2925,22697,131290,140444
7,31101,34542,34676,3313,22206,125838,137354
8,30506,34544,34574,2346,21521,123491,133378
9,36805,2452,67145,2374,23112,131888,142675
