Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,0,0,0,0,14,207422,207422,4010904,15,80,0,0,0,0,0
1,0,0,0,0,16,243643,243643,4734864,17,98,0,0,0,0,0
2,0,0,0,0,15,235359,235359,4524057,16,90,0,0,0,0,0
3,0,0,0,0,15,233823,233823,4466646,16,90,0,0,0,0,0
4,0,0,0,0,15,203991,203991,3912790,16,88,0,0,0,0,0
5,0,0,0,0,14,234075,234075,4486831,15,80,0,0,0,0,0
6,0,0,0,0,14,237448,237448,4529105,15,81,0,0,0,0,0
7,0,0,0,0,15,238304,238304,4531586,16,88,0,0,0,0,0
8,0,0,0,0,16,242559,242559,4612296,17,98,0,0,0,0,0
9,0,0,0,0,14,207422,207422,3948139,15,80,0,0,0,0,0
