Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,377347,324776,377562,96358,263667,1439710,1569516
1,366904,19443,659939,93402,258523,1398211,1498997
2,336062,365306,346470,95183,259397,1402418,1508710
3,328166,361445,362841,93296,262749,1408497,1513942
4,340316,365237,356210,99149,259304,1420216,1521988
5,344437,322361,383256,93482,262923,1406459,1517632
6,364883,19873,660760,93070,258199,1396785,1527195
7,362549,322420,358415,92628,262248,1398260,1506272
8,367907,347284,340670,101370,268299,1425530,1531723
9,368703,20244,660806,96157,269049,1414959,1526086
