Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,379865,327908,368977,96052,277666,1450468,1524855
1,316928,369358,365994,93464,289436,1435180,1544658
2,368564,19797,670487,102076,290144,1451068,1542437
3,371087,319893,359237,108180,285247,1443644,1530870
4,343923,373747,341414,97948,293811,1450843,1554168
5,353165,20529,679863,98706,292646,1444909,1552474
6,344780,360183,352954,96785,304359,1459061,1555587
7,332144,356558,363593,98350,298526,1449171,1534239
8,361344,20846,681406,102568,295055,1461219,1558737
9,363951,21117,676628,101768,298506,1461970,1554006
