Iteration;NewlyObservedSchema (SE_new);DeletedSchemaStructures (SE_del);ChangedSchemaStructures (SE_mod);InstanceAddedWithKnownSchema (PE_add);InstancesDeleted (PE_del);InstanceNotChanged (PE_mod);TotalNumberOfSchemaElementsWritten;TotalNumberOfSchemaElementsDeleted;TotalNumberOfNewInstances;ChangedSchemaStructuresBecauseOfNeighbor;TotalNumberOfChangedPayloadElements (real PE_mod);PayloadEntriesAdded;PayloadEntriesRemoved;InstanceToSchemaLinksAdded;InstanceToSchemaLinksRemoved
0;9962;0;0;0;0;0;16405;0;9962;0;9962;35330;0;9962;0
1;5860;1984;4268;0;0;3710;6811;7600;1592;4247;3597;5786;49;5860;6252
2;5316;2001;3737;0;0;3832;6374;7089;1579;3714;3603;5641;34;5316;5738
3;4791;2013;3222;0;0;3913;5792;6545;1569;3206;3598;5620;54;4791;5235
4;4397;2013;2852;0;0;3839;5429;6183;1545;2838;3572;5461;54;4397;4865
5;4048;1995;2541;0;0;3700;5108;5880;1507;2520;3523;5354;27;4048;4536
6;3813;1973;2349;0;0;3426;4745;5629;1464;2330;3456;5183;21;3813;4322
7;3467;1934;2048;0;0;3257;4458;5251;1419;2033;3368;4865;45;3467;3982
8;3272;1885;1920;0;0;2919;4267;5059;1352;1898;3259;5046;42;3272;3805
9;3043;1822;1757;0;0;2612;3917;4812;1286;1744;3121;4355;35;3043;3579
10;2771;1749;1564;0;0;2342;3599;4478;1207;1555;2965;4129;16;2771;3313
11;2514;1663;1393;0;0;2057;3261;4161;1121;1387;2790;3936;11;2514;3056
12;2305;1561;1277;0;0;1733;3009;3853;1029;1272;2595;3676;11;2306;2839
13;2155;1445;1230;0;0;1364;2780;3667;926;1220;2380;3379;11;2155;2674
14;1848;1325;1027;0;0;1168;2452;3245;822;1023;2151;2842;18;1848;2351
15;1574;1192;852;0;0;972;2064;2857;722;849;1917;2557;5;1574;2044
16;1286;1058;668;0;0;820;1703;2380;618;667;1677;2106;9;1286;1726
17;1068;919;550;0;0;637;1409;2071;518;550;1437;1724;0;1068;1469
18;884;781;461;0;0;463;1178;1762;423;461;1204;1469;0;884;1242
19;673;648;337;0;0;362;900;1394;336;337;984;1103;0;673;985
20;527;522;270;0;0;243;695;1141;257;269;780;1002;9;527;792
21;383;408;191;0;0;171;512;865;192;191;600;680;0;383;599
22;262;308;125;0;0;121;360;631;137;125;445;487;0;262;433
23;185;223;93;0;0;67;252;464;92;92;316;265;1;185;316
24;112;154;52;0;0;46;154;305;60;52;214;210;0;112;206
25;66;101;30;0;0;27;86;200;36;30;137;139;0;66;131
26;37;62;17;0;0;14;50;117;20;17;82;47;0;37;79
27;17;36;7;0;0;8;22;64;10;7;46;49;0;17;43
28;10;18;5;0;0;2;13;34;5;5;23;20;0;10;23
29;4;9;2;0;0;1;5;14;2;2;11;3;0;4;11
30;1;4;1;0;0;0;1;7;0;1;4;0;0;1;5
31;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
32;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
33;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
34;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
