Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,4524,4531,5004,5859,161815,181735,175828
1,3342,173,6248,3731,109469,122964,152746
2,2561,1900,3305,3467,94319,105554,134962
3,2311,143,4536,3545,78318,88854,127181
4,2276,128,4252,3106,65874,75638,124263
5,2079,2075,2243,3190,68457,78045,125174
6,2188,1585,2925,3435,70087,80221,132272
7,2190,2181,2330,3664,83513,93879,150472
8,2950,1741,4084,3989,96225,108990,175359
9,3280,3087,3339,4777,119068,133552,208125
10,3939,3743,4133,5375,143445,160636,242220
11,4510,3152,6130,5950,164728,184471,272785
12,4681,5019,4660,6748,179476,200585,310090
13,5505,3667,7271,7271,201867,225582,349186
14,5920,2228,9619,7401,208569,233738,388056
15,5901,2124,9609,8604,226388,252626,422929
16,6701,2347,10806,8430,237868,266152,463065
17,6751,2410,10615,9496,256344,285618,491939
18,7129,7072,7354,9537,264203,295296,524487
19,7177,7039,7622,10664,275582,308086,582014
20,8436,3246,13125,10524,289728,325061,618842
21,8312,324,16217,10775,303740,339369,654598
22,7887,5200,10527,11260,321041,355915,683407
23,9272,8981,9432,11573,304287,343547,723807
24,8917,8821,9008,11539,316208,354494,738148
25,9291,8689,9218,12546,316863,356608,784262
26,9178,6225,11864,13609,328778,369655,831426
27,9578,9917,9846,12631,315950,357923,840035
28,9182,5840,12044,13413,320725,361205,878241
29,9883,9321,10024,14541,310082,353853,922910
30,10175,3335,16369,13386,310435,353700,961030
31,10919,7316,14071,13689,325907,371903,962220
32,10408,6750,13828,14122,336333,381443,990016
33,10389,7151,13612,14240,309289,354682,1033687
34,10537,7345,13386,14576,286465,332311,1026836
35,10050,3847,15881,15224,290541,335545,1060517
36,9769,9959,9810,13933,280246,323719,1082651
37,10415,10361,10774,14659,270915,317125,1091299
38,10672,7087,13858,14240,254838,300696,1110610
39,10405,10260,10514,14457,251878,297516,1134967
40,10638,7328,14349,14902,236158,283377,1140262
41,10454,6766,14480,14841,224925,271468,1151319
42,10572,6533,13445,14582,215135,260269,1153213
43,10328,3724,16519,15066,201565,247203,1168961
44,10852,10793,10895,14241,197438,244220,1171569
45,10517,10668,11171,14290,197844,244491,1160072
46,10511,6556,14139,15352,179322,225881,1189169
47,10487,7054,13568,14910,168771,214792,1156565
48,9722,9652,10176,14566,177116,221234,1189282
49,9951,6900,13637,14414,156200,201104,1192974
