Iteration,Update time,Reading time,Waiting time,Total time,SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Add time (ms),SG Del time (ms),SG Read time (ms)
0,216,80,15,311,9211,9486,9486,291539,9432,54246,37027840,660356,165494,96,82135
1,226,62,18,306,9310,9970,9970,303888,9537,48967,42270720,677204,102539,2278,58687
2,179,59,23,261,9402,10509,10509,316184,9630,44722,42270720,667811,86352,1968,50504
3,147,51,21,219,9491,11086,11086,329407,9727,41261,42270720,652410,71211,1837,42144
4,154,21,17,192,9631,11721,11721,343553,9871,38840,42270720,637870,60290,1522,36675
5,170,49,19,238,10108,12517,12517,365884,10355,38581,42270720,638069,63676,1454,38618
6,149,58,25,232,10822,13473,13473,394207,11077,40613,42270720,671283,67063,1296,41904
7,174,77,19,270,11693,14523,14523,424448,11952,44827,42270720,735128,79177,1376,48178
8,194,68,33,295,12715,15637,15637,459735,12981,51174,44892160,832080,90671,1385,54818
9,231,64,29,324,13810,16807,16807,497793,14079,59398,44892160,965857,117680,1591,71990
10,251,61,35,347,14964,17994,17994,535293,15241,67554,44892160,1106969,133695,1756,80821
11,273,71,56,400,16098,19196,19196,572859,16377,75268,47513600,1254219,153480,1933,92497
12,248,77,26,351,17290,20411,20411,611544,17575,83276,47513600,1401368,176033,1994,108459
13,302,79,46,427,18417,21644,21644,648667,18703,90463,50135040,1542433,191486,2194,117985
14,302,65,44,411,19616,22863,22863,687289,19905,98058,50135040,1688250,197546,2126,122483
15,313,85,46,444,20728,24067,24067,725484,21022,104884,54853632,1826870,215474,2271,133888
16,349,53,71,473,21923,25300,25300,763396,22220,112070,57999360,1966988,226044,2293,140177
17,333,101,56,490,23024,26530,26530,802378,23329,118692,57999360,2102928,247233,2405,154969
18,334,131,73,538,24132,27722,27722,838182,24440,124938,58523648,2238030,257194,2425,162914
19,365,116,47,528,25196,28919,28919,874270,25508,131013,60620800,2362505,260811,2422,165469
20,360,106,48,514,26272,30060,30060,910566,26586,136914,63242240,2486493,275056,2524,174463
21,338,72,48,458,27307,31197,31197,945894,27624,142544,63242240,2604529,286604,2584,182789
22,347,79,46,472,28321,32310,32310,980323,28639,147850,65470464,2725568,308317,2634,197403
23,346,52,59,457,29305,33409,33409,1012681,29628,153246,65863680,2840752,290841,2618,186929
24,300,76,62,438,30241,34487,34487,1045752,30568,158107,65863680,2948076,304406,2668,197838
25,331,82,52,465,31176,35539,35539,1078322,31506,162681,65863680,3045076,303248,2417,197708
26,350,105,53,508,32073,36582,36582,1109494,32405,167077,68812800,3138125,312829,2528,203945
27,351,76,63,490,32932,37586,37586,1138997,33267,171235,69926912,3228947,299090,2364,196429
28,377,124,95,596,33783,38555,38555,1168552,34118,174980,73072640,3312789,306009,2323,201654
29,394,116,52,562,34564,39495,39495,1195807,34899,178630,73531392,3390784,300777,2275,199659
30,383,106,54,543,35323,40408,40408,1222219,35659,181828,73728000,3461558,294929,2139,196170
31,435,122,53,610,36033,41270,41270,1249313,36370,184665,73728000,3532050,303708,2282,202697
32,371,122,52,545,36717,42107,42107,1274542,37056,187415,76349440,3598347,318188,2241,212551
33,440,153,71,664,37378,42927,42927,1295964,37717,189798,76349440,3654554,289294,2033,194980
34,438,108,81,627,38000,43709,43709,1319034,38340,192041,76349440,3705028,269365,1963,183052
35,406,150,53,609,38645,44470,44470,1341420,38986,194263,76349440,3753675,271746,1865,185180
36,388,105,53,546,39231,45195,45195,1362850,39572,196073,76349440,3797775,262795,1779,180680
37,410,100,47,557,39776,45898,45898,1383048,40118,197845,78970880,3838386,258669,1794,178903
38,414,140,53,607,40302,46575,46575,1400369,40644,199328,78970880,3874964,241745,1724,168143
39,383,114,54,551,40779,47230,47230,1419954,41125,200543,79101952,3908722,242965,1719,169356
40,376,114,35,525,41217,47850,47850,1435740,41563,201489,79101952,3935127,223620,1638,157712
41,420,131,48,599,41636,48450,48450,1452200,41982,202175,81723392,3955048,209872,1575,149225
42,333,106,52,491,42009,49014,49014,1467703,42355,202712,81723392,3978126,206152,1463,147894
43,435,104,59,598,42374,49559,49559,1480008,42720,203270,81723392,4004144,191086,1406,138506
44,475,121,41,637,42719,50051,50051,1495217,43065,203677,81723392,4021593,188091,1351,137213
45,413,114,55,582,43024,50527,50527,1507463,43370,203741,81723392,4035922,187876,1313,137386
46,394,138,52,584,43314,50989,50989,1518589,43660,204028,81723392,4050383,169737,1196,126794
47,423,114,77,614,43557,51430,51430,1529494,43904,204127,81723392,4061654,159998,1179,120711
48,352,101,66,519,43799,51850,51850,1541600,44146,204036,81723392,4068496,167594,1155,125717
49,444,237,55,736,43976,52227,52227,1549783,44323,203780,81723392,4072719,147385,1084,113267
