Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,5165,893,8840,3675,390986,409559,376520
1,2604,2326,2493,1446,631285,640154,353189
2,2094,116,3949,1410,605887,613456,331435
3,1828,1829,1920,1287,562240,569104,318955
4,1733,1676,1771,1187,501849,508216,309088
5,1871,246,3335,1525,481775,488752,306544
6,1723,1726,1898,1295,485161,491803,312363
7,1634,1734,1705,1475,480600,487148,319244
8,1583,215,2777,1429,456817,462821,328741
9,1605,242,2933,1334,473479,479593,351435
10,1626,203,3019,1539,477424,483811,365380
11,1699,1610,1822,1361,480128,486620,393095
12,1988,1861,2132,1357,510691,518029,429803
13,2130,214,3596,1586,507047,514573,446723
14,1762,2134,2213,1631,579161,586901,469917
15,2403,189,3926,1622,515600,523740,518380
16,2061,119,4056,1813,543614,551663,532769
17,1703,2213,2550,1846,550946,559258,580100
18,1898,2056,2054,1732,567376,575116,624858
19,2535,2344,2990,1802,572480,582151,636112
20,2730,2415,2969,1684,566992,576790,681375
21,2057,2119,2591,1898,556352,565017,703942
22,2361,2425,2504,1628,576294,585212,756944
23,2068,2384,2536,1783,563316,572087,770547
24,2464,2538,2743,1755,682154,691654,1120713
25,2818,222,5236,1649,689581,699506,1147762
26,2703,234,5466,1643,660504,670550,1194820
27,2575,2629,3128,1971,623206,633509,1233244
28,3019,2793,3103,1904,613073,623892,1250001
29,2542,3105,3201,2247,612200,623295,1283260
30,3098,249,5778,1945,612631,623701,1296516
31,3247,3039,2918,1767,573084,584055,1338317
32,3444,3025,3213,2068,550346,562096,1357260
33,3186,2696,3254,1807,536279,547222,1357476
34,3202,3394,3512,1819,526755,538682,1397680
35,3274,147,5966,2257,475542,487186,1399828
36,3226,2715,3093,2314,475562,486910,1415639
37,3012,2761,3549,1882,438046,449250,1439345
38,3233,2851,3423,2001,413166,424674,1438319
39,3316,2836,3331,2406,420420,432309,1442349
40,3391,3109,3252,1925,377825,389502,1441833
41,3252,148,5903,2051,380588,391942,1453019
42,2998,3180,3386,1875,346095,357534,1468091
43,3198,3332,3419,1967,336412,348328,1448606
44,3457,237,6205,1878,328662,340439,1473784
45,3235,154,6269,2096,298309,310063,1464669
46,3435,150,5930,2278,277112,288905,1487267
47,3371,3095,3397,1943,268696,280502,1484051
48,3484,226,5733,2284,253642,265369,1471288
49,3049,226,5813,2198,227172,238458,1461386
