Iteration,Update time,Reading time,Waiting time,Total time,SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes)
0,108,10,8,126,9814,9866,9866,311094,10136,146114,2736706
1,64,12,12,88,10575,10730,10730,342510,10915,138434,2710544
2,59,7,9,75,11388,11629,11629,369446,11748,132946,2662884
3,75,13,17,105,12223,12586,12586,398086,12601,129279,2636571
4,67,23,16,106,13086,13591,13591,427723,13481,127453,2637424
5,68,9,17,94,13989,14628,14628,458859,14406,126690,2659285
6,66,14,19,99,14895,15679,15679,490101,15330,126999,2699101
7,80,9,19,108,15847,16775,16775,522977,16304,128666,2762401
8,83,15,9,107,16783,17879,17879,555507,17258,130972,2838403
9,66,11,12,89,17806,19038,19038,590442,18294,134382,2927523
10,86,13,16,115,18783,20172,20172,624313,19284,138207,3024151
11,79,22,17,118,19779,21342,21342,659332,20291,142216,3128806
12,87,17,21,125,20735,22480,22480,693147,21262,146516,3228645
13,86,20,28,134,21741,23636,23636,727998,22284,151318,3347441
14,86,52,24,162,22720,24819,24819,764190,23267,156283,3463410
15,90,18,31,139,23783,26002,26002,799752,24344,161854,3628049
16,93,26,28,147,24805,27162,27162,834935,25386,167147,3762978
17,100,12,23,135,25745,28309,28309,869557,26338,172528,3893968
18,87,24,26,137,26698,29458,29458,903755,27300,177719,4017367
19,87,18,24,129,27670,30595,30595,938279,28289,182715,4137828
20,92,20,28,140,28617,31727,31727,971527,29246,187669,4254386
21,98,25,18,141,29542,32838,32838,1004647,30181,192472,4375211
22,114,29,20,163,30457,33941,33941,1037777,31105,197321,4486361
23,112,28,24,164,31358,35000,35000,1069007,32017,201998,4596348
24,2230,599,1838,4667,32211,36033,36033,1103494,32885,206422,4702659
25,2282,578,1796,4656,33001,37043,37043,1133522,33681,210120,4793805
26,2260,603,1838,4701,33800,38040,38040,1162900,34493,213699,4880376
27,2279,668,1865,4812,34608,39016,39016,1191303,35313,217156,4967489
28,2221,593,1883,4697,35370,39976,39976,1219577,36081,220588,5055172
29,2334,620,1879,4833,36102,40888,40888,1246825,36822,223695,5129497
30,2266,650,1956,4872,36770,41775,41775,1272007,37498,225844,5183685
31,2362,652,2116,5130,37414,42638,42638,1296412,38149,227996,5243688
32,2310,657,2016,4983,38038,43457,43457,1319976,38777,230209,5303929
33,2425,674,2066,5165,38640,44243,44243,1342312,39383,231930,5353118
34,2404,676,2199,5279,39210,45004,45004,1363857,39956,233396,5395586
35,2349,636,2143,5128,39747,45740,45740,1384338,40497,234848,5439601
36,2487,684,2187,5358,40279,46453,46453,1404197,41034,236134,5479172
37,2445,663,2183,5291,40764,47134,47134,1422098,41524,237213,5511483
38,2472,706,2210,5388,41200,47786,47786,1439939,41966,237901,5538283
39,2433,724,2226,5383,41625,48400,48400,1457593,42392,238513,5561285
40,2412,658,2319,5389,42024,48993,48993,1472923,42795,238997,5581736
41,2588,699,2296,5583,42365,49562,49562,1488564,43140,238840,5587710
42,2488,732,2313,5533,42709,50116,50116,1502220,43491,238840,5596615
43,2613,677,2341,5631,43019,50628,50628,1516310,43806,238520,5606225
44,2484,696,2314,5494,43306,51119,51119,1528546,44095,238135,5608707
45,2471,682,2220,5373,43576,51587,51587,1539596,44369,237920,5611726
46,2443,733,2211,5387,43834,52027,52027,1551045,44636,237430,5609573
47,2364,672,2349,5385,44034,52447,52447,1560820,44839,236826,5603435
48,2437,681,2311,5429,44282,52845,52845,1571670,45089,236244,5598594
49,2410,714,2326,5450,44455,53208,53208,1578152,45262,235415,5590386
