Iteration,NewlyObservedSchema (SE_new),DeletedSchemaStructures (SE_del),ChangedSchemaStructures (SE_mod),InstanceAddedWithKnownSchema (PE_add),InstancesDeleted (PE_del),InstanceNotChanged (PE_mod),TotalNumberOfSchemaElementsWritten,TotalNumberOfSchemaElementsDeleted,TotalNumberOfNewInstances,ChangedSchemaStructuresBecauseOfNeighbor,TotalNumberOfChangedPayloadElements (real PE_mod),PayloadEntriesAdded,PayloadEntriesRemoved,InstanceToSchemaLinksAdded,InstanceToSchemaLinksRemoved
0,4101,0,0,0,0,0,4132,0,9488,0,9488,13725,0,9488,0 
1,1945,674,4552,0,0,1910,1945,1551,3489,760,10331,4202,4298,8041,7578 
2,1684,737,4330,0,0,2497,1684,1752,3655,534,10137,4379,3735,7985,7454 
3,1693,628,3952,0,0,3294,1693,1557,4117,421,10294,5855,3223,8069,7188 
4,1630,640,4268,0,0,3752,1630,1516,4383,488,11047,7973,3642,8651,7611 
5,1555,608,4955,0,0,4004,1555,1518,4544,662,12119,8235,4598,9499,8399 
6,1605,610,5647,0,0,4327,1605,1492,4655,751,12916,8613,5230,10302,9176 
7,1565,548,6160,0,0,4924,1565,1396,4780,856,13441,8850,5710,10940,9705 
8,1837,485,6654,0,0,5608,1837,1307,4722,939,14018,6772,6315,11376,10256 
9,1772,503,6861,0,0,6452,1772,1407,4803,908,14151,6947,6321,11664,10532 
10,1717,518,7297,0,0,7066,1717,1446,4865,946,14769,7040,6848,12162,11050 
11,1713,508,7305,0,0,8116,1713,1443,4905,888,14844,7079,6825,12210,11112 
12,1680,518,7415,0,0,9121,1680,1505,4958,849,14781,7251,6704,12373,11205 
13,1609,525,7568,0,0,10105,1609,1516,4973,907,14936,7237,6795,12541,11389 
14,1525,467,7540,0,0,11226,1525,1406,4977,917,14970,7241,6791,12517,11420 
15,1550,462,7644,0,0,12274,1550,1368,4972,892,15013,7231,6835,12616,11469 
16,1563,412,7762,0,0,13265,1563,1351,4959,889,15107,7165,6904,12721,11625 
17,1456,439,7949,0,0,14238,1456,1385,4918,932,15172,7113,7053,12867,11748 
18,1456,379,7930,0,0,15399,1456,1289,4864,961,15124,7077,7115,12794,11706 
19,1418,399,7757,0,0,16712,1418,1266,4814,877,14824,7006,6886,12571,11481 
20,1393,393,7829,0,0,17751,1393,1302,4759,875,14676,6865,6842,12588,11532 
21,1386,367,7943,0,0,18715,1386,1232,4680,927,14746,6698,6999,12623,11624 
22,1342,358,7811,0,0,19937,1342,1219,4620,875,14422,6569,6781,12431,11401 
23,1329,317,7772,0,0,21050,1329,1213,4518,898,14269,6404,6814,12290,11318 
24,1240,316,7417,0,0,22475,1240,1115,4438,858,13762,6311,6420,11855,10865 
25,1157,338,7336,0,0,23596,1157,1102,4335,794,13512,6200,6336,11671,10734 
26,1128,306,7313,0,0,24579,1128,1113,4234,796,13402,5952,6338,11547,10688 
27,1053,274,6969,0,0,25924,1053,995,4132,778,12932,5761,6116,11101,10202 
28,1142,301,6959,0,0,26939,1142,1034,4026,779,12555,5533,5916,10985,10086 
29,981,250,6769,0,0,28088,981,907,3896,706,12357,5363,5896,10665,9836 
30,947,262,6401,0,0,29381,947,899,3783,712,11760,5191,5444,10184,9372 
31,959,204,6526,0,0,30156,959,829,3679,726,11780,5037,5681,10205,9409 
32,941,225,6351,0,0,31209,941,886,3550,701,11309,4798,5430,9901,9152 
33,914,206,6087,0,0,32292,914,817,3439,650,10966,4613,5253,9526,8818 
34,910,216,6138,0,0,33028,910,856,3332,669,10846,4451,5325,9470,8790 
35,722,193,5881,0,0,34089,722,769,3216,628,10323,4227,5020,9097,8409 
36,812,192,5564,0,0,35161,812,763,3098,586,9869,4066,4720,8662,8025 
37,696,176,5397,0,0,36020,696,739,2979,597,9579,3857,4586,8376,7803 
38,679,169,5156,0,0,36961,679,670,2857,511,9091,3712,4311,8013,7435 
39,675,164,4897,0,0,37845,675,660,2743,497,8736,3497,4101,7640,7129 
40,609,157,4488,0,0,38852,609,620,2645,449,8207,3405,3744,7133,6633 
41,595,143,4454,0,0,39467,595,575,2558,490,8088,3335,3768,7012,6518 
42,565,111,4248,0,0,40234,565,506,2472,443,7712,3169,3548,6720,6245 
43,542,107,4191,0,0,40885,542,493,2383,436,7508,3110,3568,6574,6069 
44,551,129,4041,0,0,41601,551,473,2313,430,7245,3066,3382,6354,5858 
45,549,105,3856,0,0,42340,549,506,2214,386,6901,2985,3192,6070,5615 
46,472,126,3496,0,0,43243,472,448,2126,352,6498,2891,2952,5622,5167 
47,490,125,3538,0,0,43703,490,465,2066,376,6401,2848,2964,5604,5162 
48,478,116,3415,0,0,44333,478,449,1973,390,6090,2644,2779,5388,4974 
49,408,97,3104,0,0,45111,408,372,1896,324,5789,2602,2588,5000,4610 
