"Homogen Graph",,,,,,,,,,"Lin Coefficient:",23.40600816,,"Poly Coeff.",0,2.72492426,-6.30886842
"SE links","Imprint links","Sec. Index Size (bytes)","Index Size (bytes)",,"Summarization ratio","Incremental Size","Batch Size",,"Funk.","Diff abs","Diff rel",,"Funk.","Diff abs","Diff rel",
4101,9488,251621,31784960,,2.31358205315777,32036581,31784960,,222076.20542208,29544.79457792,11.74%,,25847.77251046,32010733.2274895,99.92%,
4495,9951,267270,31784960,,2.21379310344828,32052230,31784960,,232913.18720016,34356.81279984,12.85%,,,,,
4427,10482,274748,31784960,,2.36774339281681,32059708,31784960,,245341.77753312,29406.22246688,10.70%,,,,,
4563,11363,297096,31784960,,2.4902476440938,32082056,31784960,,265962.47072208,31133.52927792,10.48%,,,,,
4677,12403,325247,31784960,,2.65191361984178,32110207,31784960,,290304.71920848,34942.28079152,10.74%,,,,,
4714,13503,351654,32178176,,2.86444633008061,32529830,32178176,,316051.32818448,35602.67181552,10.12%,,,,,
4827,14629,379202,33226752,,3.0306608659623,33605954,33226752,,342406.49337264,36795.50662736,9.70%,,,,,
4996,15864,409633,34340864,,3.17534027221777,34750497,34340864,,371312.91345024,38320.08654976,9.35%,,,,,
5526,16984,440022,34406400,,3.07347086500181,34846422,34406400,,397527.64258944,42494.35741056,9.66%,,,,,
5891,18116,469790,34406400,,3.07519945679851,34876190,34406400,,424023.24382656,45766.75617344,9.74%,,,,,
6162,19228,497364,34406400,,3.12041544952937,34903764,34406400,,450050.72490048,47313.27509952,9.51%,,,,,
6432,20326,525348,34406400,,3.1601368159204,34931748,34406400,,475750.52186016,49597.47813984,9.44%,,,,,
6607,21494,553851,34406400,,3.25321628575753,34960251,34406400,,503088.73939104,50762.26060896,9.17%,,,,,
6700,22646,580381,34406400,,3.38,34986781,34406400,,530052.46079136,50328.53920864,8.67%,,,,,
6819,23743,606731,34406400,,3.48188884000587,35013131,34406400,,555728.85174288,51002.1482571201,8.41%,,,,,
7001,24890,634935,34406400,,3.55520639908584,35041335,34406400,,582575.5431024,52359.4568976,8.25%,,,,,
7213,25986,660906,34406400,,3.6026618605296,35067306,34406400,,608228.52804576,52677.47195424,7.97%,,,,,
7284,27105,686394,34406400,,3.72116968698517,35092794,34406400,,634419.8511768,51974.1488232,7.57%,,,,,
7451,28193,712756,34406400,,3.78378741108576,35119156,34406400,,659885.58805488,52870.4119451201,7.42%,,,,,
7603,29283,741074,34406400,,3.85150598447981,35147474,34406400,,685398.13694928,55675.8630507201,7.51%,,,,,
7694,30339,763205,34406400,,3.943202495451,35169605,34406400,,710114.88156624,53090.11843376,6.96%,,,,,
7848,31338,791059,34406400,,3.99311926605505,35197459,34406400,,733497.48371808,57561.51628192,7.28%,,,,,
7971,32368,811860,34406400,,4.0607201104002,35218260,34406400,,757605.67212288,54254.32787712,6.68%,,,,,
8087,33340,834057,34406400,,4.122666007172,35240457,34406400,,780356.3120544,53700.6879456,6.44%,,,,,
8212,34330,859479,34406400,,4.18046760837798,35265879,34406400,,803528.2601328,55950.7398672,6.51%,,,,,
8267,35267,879388,34406400,,4.26599733881698,35285788,34406400,,825459.68977872,53928.3102212801,6.13%,,,,,
8282,36126,899172,34406400,,4.36198985752234,35305572,34406400,,845565.45078816,53606.54921184,5.96%,,,,,
8340,37025,918491,34406400,,4.439448441247,35324891,34406400,,866607.452124,51883.5478760001,5.65%,,,,,
8448,37924,939970,34406400,,4.48910984848485,35346370,34406400,,887649.45345984,52320.5465401601,5.57%,,,,,
8522,38753,960238,34406400,,4.54740671203943,35366638,34406400,,907053.03422448,53184.9657755201,5.54%,,,,,
8570,39565,975994,34406400,,4.61668611435239,35382394,34406400,,926058.7128504,49935.2871496,5.12%,,,,,
8700,40361,1000614,34406400,,4.63919540229885,35407014,34406400,,944689.89534576,55924.1046542401,5.59%,,,,,
8755,41110,1012403,34406400,,4.6956025128498,35418803,34406400,,962220.9954576,50182.0045424,4.96%,,,,,
8852,41818,1027171,34406400,,4.72413014008134,35433571,34406400,,978792.44923488,48378.5507651201,4.71%,,,,,
8906,42498,1042816,34406400,,4.77183920952167,35449216,34406400,,994708.53478368,48107.46521632,4.61%,,,,,
8859,43186,1059966,34406400,,4.87481657071904,35466366,34406400,,1010811.86839776,49154.13160224,4.64%,,,,,
8908,43823,1069923,34406400,,4.91951055231253,35476323,34406400,,1025721.49559568,44201.50440432,4.13%,,,,,
8865,44396,1080966,34406400,,5.00800902425268,35487366,34406400,,1039133.13827136,41832.86172864,3.87%,,,,,
8874,44974,1092672,34406400,,5.06806400721208,35499072,34406400,,1052661.81098784,40010.1890121601,3.66%,,,,,
8889,45485,1102762,34406400,,5.11699853751828,35509162,34406400,,1064622.2811576,38139.7188424,3.46%,,,,,
8878,45985,1114368,34406400,,5.17965758053616,35520768,34406400,,1076325.2852376,38042.7147624001,3.41%,,,,,
8898,46479,1123071,34406400,,5.22353337828726,35529471,34406400,,1087887.85326864,35183.1467313601,3.13%,,,,,
8957,46954,1134344,34406400,,5.24215697220051,35540744,34406400,,1099005.70714464,35338.2928553601,3.12%,,,,,
9006,47459,1147613,37027840,,5.26970908283367,38175453,37027840,,1110825.74126544,36787.2587345601,3.21%,,,,,
9084,47955,1156118,37027840,,5.27906208718626,38183958,37027840,,1122435.1213128,33682.8786872001,2.91%,,,,,
9127,48410,1167055,37027840,,5.30404294949052,38194895,37027840,,1133084.8550256,33970.1449744001,2.91%,,,,,
9151,48865,1176920,37027840,,5.33985356791608,38204760,37027840,,1143734.5887384,33185.4112616,2.82%,,,,,
9176,49307,1188500,37027840,,5.37347428073235,38216340,37027840,,1154080.04434512,34419.95565488,2.90%,,,,,
9205,49721,1196216,37027840,,5.40152091254753,38224056,37027840,,1163770.13172336,32445.8682766401,2.71%,,,,,
9241,50111,1203728,37027840,,5.42268152797316,38231568,37027840,,1172898.47490576,30829.52509424,2.56%,,,,,
