Iteration,NewlyObservedSchema (SE_new),DeletedSchemaStructures (SE_del),ChangedSchemaStructures (SE_mod),InstanceAddedWithKnownSchema (PE_add),InstancesDeleted (PE_del),InstanceNotChanged (PE_mod),TotalNumberOfSchemaElementsWritten,TotalNumberOfSchemaElementsDeleted,TotalNumberOfNewInstances,ChangedSchemaStructuresBecauseOfNeighbor,TotalNumberOfChangedPayloadElements (real PE_mod),PayloadEntriesAdded,PayloadEntriesRemoved,InstanceToSchemaLinksAdded,InstanceToSchemaLinksRemoved
0,88,0,0,0,0,0,88,0,9474,0,9474,13708,0,9474,0 
1,1,1,0,0,1001,8473,1,1,1484,0,1884,1638,411,1693,1002 
2,3,3,0,0,1035,8922,3,3,1571,0,1923,1753,359,1571,1038 
3,2,1,0,0,1064,9429,2,1,1664,0,1927,1847,270,1664,1065 
4,3,0,0,0,1086,10007,3,0,1748,0,2019,1962,276,1748,1086 
5,1,0,0,0,1160,10595,1,0,1944,0,2205,2253,267,1944,1160 
6,0,2,0,0,1182,11357,0,2,2099,0,2344,2595,248,2099,1184 
7,2,1,0,0,1180,12276,2,1,2243,0,2484,2921,241,2243,1181 
8,1,1,0,0,1230,13289,1,1,2327,0,2538,3153,216,2327,1231 
9,1,0,0,0,1232,14384,1,0,2412,0,2692,3582,281,2412,1232 
10,0,0,0,0,1283,15513,0,0,2445,0,2709,3643,266,2445,1283 
11,1,0,0,0,1270,16688,1,0,2469,0,2797,3617,332,2469,1270 
12,1,0,0,0,1273,17884,1,0,2480,0,2811,3715,336,2480,1273 
13,2,1,0,0,1265,19099,2,1,2489,0,2833,3680,345,2489,1266 
14,0,2,0,0,1256,20332,0,2,2504,0,2846,3689,344,2504,1258 
15,1,1,0,0,1270,21566,1,1,2487,0,2827,3720,345,2487,1271 
16,1,0,0,0,1267,22786,1,0,2487,0,2809,3737,327,2487,1267 
17,0,0,0,0,1270,24003,0,0,2465,0,2836,3675,373,2465,1270 
18,0,0,0,0,1253,25215,0,0,2445,0,2777,3648,338,2445,1253 
19,0,1,0,0,1241,26419,0,1,2423,0,2792,3599,372,2423,1242 
20,0,1,0,0,1248,27594,0,1,2398,0,2778,3525,383,2398,1249 
21,0,0,0,0,1221,28771,0,0,2352,0,2680,3465,330,2352,1221 
22,0,0,0,0,1179,29944,0,0,2307,0,2643,3345,340,2307,1179 
23,0,0,0,0,1174,31077,0,0,2275,0,2611,3269,339,2275,1174 
24,0,0,0,0,1153,32199,0,0,2225,0,2566,3246,344,2225,1153 
25,1,0,0,0,1114,33310,1,0,2174,0,2495,3124,321,2174,1114 
26,0,0,0,0,1098,34386,0,0,2126,0,2426,3006,301,2126,1098 
27,0,0,0,0,1059,35453,0,0,2073,0,2393,2924,322,2073,1059 
28,0,0,0,0,1058,36468,0,0,2014,0,2319,2875,307,2014,1058 
29,0,0,0,0,1012,37470,0,0,1967,0,2251,2712,285,1967,1012 
30,1,0,0,0,996,38441,1,0,1908,0,2187,2665,282,1908,996 
31,0,0,0,0,950,39399,0,0,1847,0,2123,2541,277,1847,950 
32,0,0,0,0,930,40316,0,0,1780,0,2040,2444,261,1780,930 
33,1,0,0,0,906,41190,1,0,1741,0,1984,2356,244,1741,906 
34,0,0,0,0,878,42053,0,0,1673,0,1912,2255,241,1673,878 
35,0,0,0,0,859,42867,0,0,1618,0,1860,2195,243,1618,859 
36,0,0,0,0,826,43659,0,0,1556,0,1772,2027,216,1556,826 
37,0,0,0,0,792,44423,0,0,1497,0,1702,1979,206,1497,792 
38,1,0,0,0,769,45151,1,0,1437,0,1643,1886,207,1437,769 
39,0,0,0,0,737,45851,0,0,1385,0,1586,1820,203,1385,737 
40,0,0,0,0,709,46527,0,0,1327,0,1531,1719,205,1327,709 
41,0,0,0,0,680,47174,0,0,1273,0,1447,1655,177,1273,680 
42,1,0,0,0,654,47793,1,0,1228,0,1435,1562,207,1228,654 
43,0,0,0,0,631,48390,0,0,1166,0,1357,1463,191,1166,631 
44,0,0,0,0,607,48949,0,0,1129,0,1284,1415,156,1129,607 
45,1,0,0,0,585,49493,1,0,1066,0,1210,1329,144,1066,585 
46,0,0,0,0,570,49989,0,0,1028,0,1166,1270,139,1028,570 
47,0,0,0,0,522,50495,0,0,982,0,1109,1217,127,982,522 
48,0,0,0,0,518,50959,0,0,934,0,1069,1118,135,934,518 
49,0,0,0,0,510,51383,0,0,889,0,993,1055,105,889,510 
