Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,36,587,0,623,88,9474,9233,181760,88,0,0,0,1020,0,44
1,11,252,501,764,88,9957,9957,188088,88,0,0,0,2,0,43
2,5,162,396,563,88,10493,10493,194727,88,0,0,0,5,0,38
3,10,201,439,650,89,11093,11093,206087,89,0,0,0,3,0,37
4,8,214,454,676,92,11755,11755,218364,92,0,0,0,7,0,35
5,10,204,510,724,93,12539,12539,231686,93,0,0,0,2,0,34
6,6,226,549,781,91,13456,13456,249164,91,0,0,0,0,0,36
7,10,254,590,854,92,14519,14519,270195,92,0,0,0,4,0,36
8,15,280,688,983,92,15616,15616,291521,92,0,0,0,2,0,35
9,11,286,804,1101,93,16796,16796,313742,93,0,0,0,2,0,34
10,13,338,874,1225,93,17958,17958,337725,93,0,0,0,0,0,33
11,19,331,934,1284,94,19157,19157,360779,94,0,0,0,1,0,36
12,14,336,1030,1380,95,20364,20364,383563,95,0,0,0,2,0,34
13,16,347,1106,1469,96,21588,21588,406767,96,0,0,0,2,0,33
14,13,395,1101,1509,94,22836,22836,431736,94,0,0,0,0,0,34
15,12,397,1183,1592,94,24053,24053,453766,94,0,0,0,4,0,35
16,18,432,1244,1694,95,25273,25273,478675,95,0,0,0,2,0,33
17,17,449,1362,1828,95,26468,26468,502330,95,0,0,0,0,0,34
18,17,472,1420,1909,95,27660,27660,525169,95,0,0,0,0,0,31
19,19,484,1399,1902,94,28842,28842,547827,94,0,0,0,0,0,33
20,16,444,1504,1964,93,29992,29992,568216,93,0,0,0,0,0,34
21,21,522,1482,2025,93,31123,31123,592095,93,0,0,0,0,0,32
22,32,560,1533,2125,93,32251,32251,614587,93,0,0,0,0,0,34
23,15,574,1613,2202,93,33352,33352,635214,93,0,0,0,0,0,33
24,25,606,1409,2040,93,34424,34424,656820,93,0,0,0,0,0,34
25,19,563,1648,2230,94,35484,35484,676574,94,0,0,0,1,0,34
26,215,1477,1447,3139,94,36512,36512,696952,94,0,0,0,0,0,33
27,29,574,1727,2330,94,37526,37526,714201,94,0,0,0,0,0,33
28,39,641,1689,2369,94,38482,38482,735200,94,0,0,0,0,0,32
29,25,614,1776,2415,94,39437,39437,751815,94,0,0,0,0,0,36
30,23,673,1725,2421,95,40349,40349,770325,95,0,0,0,2,0,33
31,21,681,1685,2387,95,41246,41246,786608,95,0,0,0,0,0,37
32,24,600,1594,2218,95,42096,42096,800380,95,0,0,0,0,0,33
33,27,699,1701,2427,96,42931,42931,819457,96,0,0,0,2,0,33
34,26,705,1693,2424,96,43726,43726,834384,96,0,0,0,0,0,36
35,30,681,1783,2494,96,44485,44485,848129,96,0,0,0,0,0,33
36,31,674,1753,2458,96,45215,45215,860807,96,0,0,0,0,0,32
37,28,680,1620,2328,96,45920,45920,873247,96,0,0,0,0,0,33
38,32,692,1516,2240,97,46588,46588,886316,97,0,0,0,2,0,32
39,23,753,1580,2356,97,47236,47236,901688,97,0,0,0,0,0,59
40,36,768,1763,2567,97,47854,47854,913050,97,0,0,0,0,0,33
41,34,751,1558,2343,97,48447,48447,923374,97,0,0,0,0,0,44
42,29,757,1407,2193,98,49021,49021,932765,98,0,0,0,1,0,32
43,23,788,1411,2222,98,49556,49556,942943,98,0,0,0,0,0,33
44,20,713,1348,2081,98,50078,50078,949954,98,0,0,0,0,0,33
45,25,760,1435,2220,99,50559,50559,962062,99,0,0,0,1,0,33
46,34,771,1313,2118,99,51017,51017,970053,99,0,0,0,0,0,31
47,27,781,1181,1989,99,51477,51477,979753,99,0,0,0,0,0,33
48,28,803,1250,2081,99,51893,51893,986585,99,0,0,0,0,0,34
49,29,843,1188,2060,99,52272,52272,994843,99,0,0,0,0,0,33
