Iteration,NewlyObservedSchema (SE_new),DeletedSchemaStructures (SE_del),ChangedSchemaStructures (SE_mod),InstanceAddedWithKnownSchema (PE_add),InstancesDeleted (PE_del),InstanceNotChanged (PE_mod),TotalNumberOfSchemaElementsWritten,TotalNumberOfSchemaElementsDeleted,TotalNumberOfNewInstances,ChangedSchemaStructuresBecauseOfNeighbor,TotalNumberOfChangedPayloadElements (real PE_mod),PayloadEntriesAdded,PayloadEntriesRemoved,InstanceToSchemaLinksAdded,InstanceToSchemaLinksRemoved
0,8598,0,0,0,0,0,8686,0,9474,0,9474,13708,0,9474,0 
1,3591,3671,3283,0,1001,5190,3592,3672,1484,1607,3160,1638,2230,4767,2175 
2,3192,3239,2923,0,1035,5999,3194,3242,1571,1238,3208,1753,2045,4494,2095 
3,2818,2885,2562,0,1064,6867,2819,2886,1664,963,3155,1847,1820,4226,2065 
4,2696,2650,2493,0,1086,7514,2699,2650,1748,845,3328,1962,1852,4241,2100 
5,2741,2496,2349,0,1160,8246,2742,2496,1944,756,3553,2253,1855,4293,2183 
6,2997,2478,2363,0,1182,8994,2997,2481,2099,712,3699,2595,1829,4462,2215 
7,3168,2447,2369,0,1180,9907,3172,2448,2243,696,3888,2921,1853,4612,2239 
8,3435,2551,2440,0,1230,10849,3436,2553,2327,739,4019,3153,1966,4767,2374 
9,3750,2761,2704,0,1232,11680,3752,2761,2412,910,4216,3582,2102,5116,2424 
10,3890,2897,2854,0,1283,12659,3890,2898,2445,1021,4322,3643,2207,5299,2553 
11,4199,3167,3191,0,1270,13497,4200,3167,2469,1208,4477,3617,2386,5660,2565 
12,4196,3175,3258,0,1273,14626,4198,3175,2480,1194,4530,3715,2479,5738,2651 
13,4275,3244,3221,0,1265,15878,4277,3244,2489,1285,4566,3680,2523,5710,2659 
14,4227,3293,3348,0,1256,16984,4228,3295,2504,1344,4575,3689,2489,5852,2631 
15,4336,3401,3537,0,1270,18029,4336,3402,2487,1468,4664,3720,2673,6024,2765 
16,4318,3410,3495,0,1267,19291,4319,3410,2487,1433,4644,3737,2697,5982,2747 
17,4441,3648,3879,0,1270,20124,4441,3648,2465,1613,4796,3675,2873,6344,2887 
18,4295,3410,3693,0,1253,21522,4295,3410,2445,1516,4740,3648,2818,6138,2820 
19,4451,3622,3875,0,1241,22544,4451,3623,2423,1570,4724,3599,2850,6298,2865 
20,4409,3525,3955,0,1248,23639,4409,3526,2398,1599,4825,3525,2991,6353,2923 
21,4325,3484,3826,0,1221,24945,4325,3484,2352,1528,4620,3465,2823,6178,2845 
22,4199,3371,3676,0,1179,26268,4199,3371,2307,1484,4536,3345,2804,5983,2715 
23,4210,3384,3765,0,1174,27312,4210,3384,2275,1526,4564,3269,2857,6040,2784 
24,3963,3341,3706,0,1153,28493,3963,3341,2225,1502,4512,3246,2826,5931,2771 
25,3913,3224,3630,0,1114,29680,3914,3224,2174,1453,4432,3124,2813,5804,2711 
26,3967,3226,3618,0,1098,30768,3967,3226,2126,1455,4349,3006,2816,5744,2717 
27,3688,2942,3244,0,1059,32209,3688,2942,2073,1249,4131,2924,2552,5317,2483 
