Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,3115,3006,3356,957,12196,22630,17170
1,1776,1697,1800,444,8620,14337,15146
2,1432,1507,1536,411,7414,12300,13894
3,1263,1357,1460,385,6169,10634,12839
4,1163,1262,1328,380,5485,9618,12411
5,1136,1195,1339,385,5633,9688,11782
6,1285,1169,1334,418,6597,10803,12820
7,1404,129,2664,463,7218,11878,14694
8,1608,1547,1652,494,8864,14165,17752
9,2011,181,3780,563,10807,17342,21055
10,2257,203,4298,589,11724,19071,22939
11,2393,2562,2670,646,13835,22106,26518
12,2875,248,5402,694,15047,24266,30573
13,3125,2942,3277,775,16319,26438,34870
14,3157,3379,3526,815,17233,28110,37257
15,3508,3779,3881,875,19349,31392,44189
16,4014,3789,4079,935,19948,32765,44794
17,4086,3962,4681,980,21439,35148,48915
18,4493,4247,4560,1025,21377,35702,52396
19,4645,4472,4850,1074,23681,38722,57489
20,4455,4788,4976,1162,23853,39234,59526
21,5023,5406,5096,1192,24079,40796,62777
22,4995,5195,5297,1165,25068,41720,68420
23,5322,448,9980,1221,24970,41941,70938
24,5250,5534,5664,1288,24515,42251,73467
25,5712,5320,5841,1326,25143,43342,77721
26,6224,5624,6183,1339,26346,45716,82670
