Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,29,74031,0,74060,8598,9474,9474,283233,8686,41917,0,0,37550,0,172
1,13,47140,21,47174,8518,9957,9957,295720,8606,38523,0,0,26939,0,1678
2,14,39829,18,39861,8471,10493,10493,306701,8558,35848,0,0,22805,0,1129
3,13,33286,12,33311,8404,11093,11093,319114,8491,33504,0,0,18968,0,943
4,8,29329,12,29349,8450,11755,11755,334274,8540,31826,0,0,16917,0,831
5,7,30449,18,30474,8695,12539,12539,353721,8786,31624,0,0,17583,0,757
6,14,36416,16,36446,9214,13456,13456,379112,9302,33152,0,0,20786,0,752
7,15,40042,18,40075,9935,14519,14519,409871,10026,36403,0,0,22879,0,775
8,18,49458,20,49496,10819,15616,15616,442484,10909,41035,0,0,28435,0,804
9,19,61828,25,61872,11808,16796,16796,478458,11900,46924,0,0,35508,0,901
10,13,65805,14,65832,12801,17958,17958,513433,12892,52497,0,0,37663,0,978
11,24,78039,26,78089,13833,19157,19157,552383,13925,58076,0,0,45387,0,1088
12,14,84892,23,84929,14854,20364,20364,586121,14948,63550,0,0,49550,0,1141
13,18,90925,19,90962,15885,21588,21588,622811,15981,68995,0,0,53116,0,1195
14,32,96056,21,96109,16819,22836,22836,659429,16914,74086,0,0,56322,0,1332
15,31,108383,21,108435,17754,24053,24053,695688,17848,78979,0,0,64254,0,1446
16,29,110370,22,110421,18662,25273,25273,731773,18757,83432,0,0,65065,0,1360
17,23,120186,30,120239,19455,26468,26468,766267,19550,87482,0,0,71212,0,1673
18,35,118094,21,118150,20340,27660,27660,800853,20435,92002,0,0,71466,0,1391
19,25,131527,26,131578,21169,28842,28842,838880,21263,95897,0,0,78663,0,1573
20,29,133076,26,133131,22053,29992,29992,869137,22146,100186,0,0,79598,0,1521
21,40,129322,24,129386,22894,31123,31123,901408,22987,104183,0,0,77571,0,1489
22,25,137887,29,137941,23722,32251,32251,934354,23815,107963,0,0,82499,0,1536
23,43,137561,20,137624,24548,33352,33352,965973,24641,111717,0,0,82331,0,1584
24,40,128907,22,128969,25170,34424,34424,995556,25263,114559,0,0,76855,0,1550
25,34,133069,22,133125,25859,35484,35484,1027234,25953,117495,0,0,78905,0,1476
26,38,141625,29,141692,26600,36512,36512,1054843,26694,120688,0,0,84033,0,1568
27,40,127294,22,127356,27346,37526,37526,1083022,27440,123852,0,0,75556,0,1467
