,SE-ADD,SE-DEL,SE-MOD,SE-unchanged,instances,stability-ratio,change-ratio,update-ratio
schemex:min,55.0,0.0,0.0,0.0,7328.0,0.0,,
schemex:max,15783.0,15783.0,1137778.0,85407.0,1286066.0,0.1539301310043668,,
schemex:mean,1929.2926829268292,1920.4634146341464,557758.2926829269,41647.60975609756,630716.1463414634,0.06716904002283888,,
schemex:std,3576.729548371686,3581.13926773004,357510.1890844682,26316.149166318053,384445.82999270264,0.024261106985542746,,
attribute:min,0.0,0.0,0.0,0.0,7328.0,0.0,,
attribute:max,48.0,4.0,10525.0,1222984.0,1286066.0,0.999996934837715,,
attribute:mean,2.097560975609756,0.926829268292683,970.4146341463414,598381.0243902439,630716.1463414634,0.8893514576147054,,
attribute:std,7.439102358647789,1.1702615926031033,2683.9555694497794,381697.37983090006,384445.82999270264,0.21710197294588987,,
type:min,0.0,0.0,0.0,0.0,7328.0,0.0,,
type:max,513.0,513.0,30021.0,1222984.0,1286066.0,0.999996934837715,,
type:mean,51.58536585365854,51.02439024390244,2744.756097560976,596606.8780487805,630716.1463414634,0.885483856116142,,
type:std,113.75631314563516,113.95733583338942,7629.604746579234,381016.1674476029,384445.82999270264,0.21699091761535938,,
