,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch,Seepdup
schemex:min,0.042883333333333336,0.021500000000000002,0.04161666666666666,0.0067,0.0781,0.28235,0.20778333333333335,0.3935184541438973
schemex:max,7.602916666666667,8.159733333333334,13.209316666666666,1.3079,71.55085000000001,91.37106666666666,85.76475,2.943713752815095
schemex:mean,3.756216260162602,2.5741560975609765,5.060174796747969,0.6319703252032519,9.27241219512195,21.294929674796744,36.16941219512196,1.7649539676613397
schemex:std,2.261614637830336,2.7769694678876014,3.3184603670375385,0.4110166421426569,16.885516960955286,20.241865407442933,27.95185781207873,0.8137347028410031
AttributeCollection:min,0.0395,0.021033333333333334,0.04526666666666667,0.00625,0.025500000000000002,0.16196666666666668,0.17643333333333333,0.889308816047678
AttributeCollection:max,7.9293,6.826350000000001,14.7141,1.5233333333333334,4.304483333333334,28.875583333333335,30.11413333333333,1.0959772772309928
AttributeCollection:mean,3.740415040650406,2.4070552845528463,5.142815447154473,0.595197154471545,2.158867073170731,14.044350000000005,14.593170325203248,1.035826782615677
AttributeCollection:std,2.32753549971079,2.234942064369775,4.148281200438104,0.3965238399534418,1.3090125371051424,8.587501432295692,8.933613789598338,0.030506887352857615
TypeCollection:min,0.042050000000000004,0.003,0.07010000000000001,0.0059,0.013916666666666666,0.14676666666666666,0.1618,0.8451414611080463
TypeCollection:max,8.194466666666667,7.11,14.460083333333333,1.1339000000000001,3.7537000000000003,28.239583333333332,29.6255,1.1024301612536906
TypeCollection:mean,3.7984975609756093,2.9430495934959353,4.812252439024389,0.52204918699187,1.2911995934959348,13.36704837398374,13.892671951219512,1.0353237246118325
TypeCollection:std,2.3854050828497813,2.344321155539985,3.863401008431849,0.33498292545523084,0.8812082302668923,8.239722876792072,8.59077293443171,0.0350366165632664
