,SE links,Imprint links,Schema Elements (SE),Schema Relations (SR),summarization-ratio
schemex:min,362.0,7328.0,385.0,3809.0,20.243093922651934
schemex:max,22211.0,1286066.0,22879.0,253509.0,57.90221061636126
schemex:mean,12256.951219512195,630716.1463414634,12647.926829268292,138608.68292682926,51.45783278776603
schemex:std,6837.8440825717125,384445.8299927027,7041.400380571481,77951.14848943504,56.223251853983875
AttributeCollection:min,48.0,7328.0,49.0,554.0,152.66666666666666
AttributeCollection:max,80.0,1286066.0,81.0,1103.0,16075.825
AttributeCollection:mean,60.829268292682926,630716.1463414634,61.829268292682926,768.7560975609756,10368.629510825984
AttributeCollection:std,10.214946008238101,384445.8299927027,10.214946008238101,169.61114062581575,37635.6203628151
TypeCollection:min,23.0,7328.0,23.0,0.0,318.60869565217394
TypeCollection:max,667.0,1286066.0,667.0,0.0,1928.134932533733
TypeCollection:mean,390.1707317073171,630716.1463414634,390.1707317073171,0.0,1616.5132212289805
TypeCollection:std,204.2039302314018,384445.8299927027,204.2039302314018,0.0,1882.6563698213477
