,SE-ADD,SE-DEL,SE-MOD,SE-unchanged,instances,stability-ratio,change-ratio,update-ratio
schemex:min,51.0,0.0,0.0,0.0,2152041.0,0.0,,
schemex:max,293.0,69.0,762653.0,1094234.0,2174273.0,0.5037142129813551,,
schemex:mean,85.2,56.9,646807.0,926708.8,2165197.9,0.4277629869751124,,
schemex:std,73.2193052866979,20.70131504142779,229354.82128110778,328775.8517473231,8642.501444090774,0.15167067875407195,,
attribute:min,0.0,0.0,0.0,0.0,2152041.0,0.0,,
attribute:max,28.0,4.0,303352.0,1553384.0,2174273.0,0.7150770301579271,,
attribute:mean,4.1,1.4,256524.9,1316857.6,2165197.9,0.6078540796752371,,
attribute:std,8.46496045800307,1.1737877907772674,91011.1492040032,467070.9334494899,8642.501444090774,0.2154720935788856,,
type:min,0.0,0.0,0.0,0.0,2152041.0,0.0,,
type:max,53.0,7.0,143116.0,1713643.0,2174273.0,0.7888498575953664,,
type:mean,9.1,4.1,121655.3,1451690.5,2165197.9,0.6700917574960983,,
type:std,15.552420318965718,2.330951164939612,43133.187274482225,514936.1520079186,8642.501444090774,0.2375519461835377,,
