,SE links,Imprint links,Schema Elements (SE),Schema Relations (SR),summarization-ratio
schemex:min,279.0,2152041.0,327.0,1853.0,7713.408602150537
schemex:max,293.0,2174273.0,344.0,1975.0,7420.726962457338
schemex:mean,286.5,2165197.9,337.0,1909.4,7557.409773123909
schemex:std,5.7397251192408545,8642.501444090774,6.27162924074226,44.95479210644103,1505.7343800523056
AttributeCollection:min,25.0,2152041.0,26.0,165.0,86081.64
AttributeCollection:max,28.0,2174273.0,29.0,201.0,77652.60714285714
AttributeCollection:mean,26.6,2165197.9,27.6,185.4,81398.41729323307
AttributeCollection:std,1.0749676997731399,8642.501444090774,1.0749676997731399,11.701851705321397,8039.777796034876
TypeCollection:min,48.0,2152041.0,48.0,0.0,44834.1875
TypeCollection:max,55.0,2174273.0,55.0,0.0,39532.236363636366
TypeCollection:mean,52.4,2165197.9,52.4,0.0,41320.57061068702
TypeCollection:std,2.2211108331943574,8642.501444090774,2.2211108331943574,0.0,3891.0716723043042
