,SE-ADD,SE-DEL,SE-MOD,SE-unchanged,instances,stability-ratio,change-ratio,update-ratio
schemex:min,121.0,0.0,0.0,0.0,2106549.0,0.0,,
schemex:max,111887.0,91320.0,442482.0,3449215.0,3546004.0,1.137674630831652,,
schemex:mean,5731.938775510204,3469.5714285714284,31754.020408163266,2577147.2448979593,2808708.744680851,0.9276616241425026,,
schemex:std,21097.97291349748,13814.885626562385,82789.95329861634,627441.0387331072,526270.4259741154,0.16061981352239213,,
attribute:min,56.0,0.0,0.0,0.0,2106549.0,0.0,,
attribute:max,19954.0,5200.0,215941.0,3449750.0,3546004.0,1.1378839865260821,,
attribute:mean,798.6938775510204,460.48979591836735,11698.387755102041,2597191.551020408,2808708.744680851,0.9356385791530695,,
attribute:std,2945.844914197521,979.5691681050607,42599.59228620245,622100.2505199979,526270.4259741154,0.159140446720917,,
type:min,3.0,0.0,0.0,0.0,2106549.0,0.0,,
type:max,6013.0,2132.0,271564.0,3460441.0,3546004.0,1.1391772500145385,,
type:mean,339.7959183673469,180.6326530612245,20815.326530612245,2588034.4285714286,2808708.744680851,0.9319212696181565,,
type:std,1038.8621977030095,504.53009052473567,51322.07461763235,622171.6067330554,526270.4259741154,0.15882315547434975,,
