,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch,Seepdup
schemex:min,4.0137,0.11091666666666668,3.95955,0.6540833333333332,3.8638666666666666,16.949583333333333,28.22075,1.015357686398814
schemex:max,8.000350000000001,7.760966666666667,12.199366666666666,1.0471666666666666,42.32508333333333,62.19949999999999,95.45811666666667,2.8572937040052966
schemex:mean,5.4384265306122455,4.294597278911563,6.62628843537415,0.8396554421768709,6.741193537414968,23.940161224489792,54.06315680272109,2.359649901841474
schemex:std,1.0652344516644887,2.5893122788761382,2.1067406117395717,0.0868650185038436,6.606176735761634,7.8213991460323395,8.707927931407507,0.40426443054756683
attribute:min,3.6768,0.10884999999999999,3.9275499999999997,0.5718166666666666,3.2674000000000003,15.735933333333332,44.6486,1.0148018466124338
attribute:max,7.495633333333333,7.558483333333333,13.40805,1.0036666666666667,39.583999999999996,58.84288333333333,71.654,3.263884090713841
attribute:mean,5.261269727891156,3.71976768707483,6.836300340136054,0.7951918367346938,5.281094217687075,21.89362380952381,56.11019999999999,2.6676690993159067
attribute:std,1.0337100390842822,2.5508579159660885,2.5309094888308072,0.0964866453003971,5.31139876235748,6.801289204974235,5.93478876649122,0.38023680133735044
type:min,3.7237666666666667,0.12338333333333333,4.040883333333333,0.57435,2.24735,14.7891,77.0239,4.932907655162255
type:max,7.800766666666666,7.772216666666667,12.810633333333334,1.2880833333333332,3.965033333333333,27.2798,208.79653333333331,8.07954342973526
type:mean,5.373001700680271,3.870774149659864,6.734293197278909,0.8300102040816327,2.9026445578231295,19.710723809523806,125.84752414965989,6.313802035151247
type:std,1.1001754522440623,2.652101873512618,2.2125257618292977,0.14746373686436873,0.5536114917214617,3.7168485567537717,34.166049802665654,0.7671283031109905
