,SE links,Imprint links,Schema Elements (SE),Schema Relations (SR),summarization-ratio
schemex:min,106142.0,2106549.0,108937.0,429373.0,19.846516930150177
schemex:max,165316.0,3546004.0,169201.0,605461.0,21.449853613685306
schemex:mean,111966.20408163265,2799759.673469388,115715.57142857143,446801.79591836734,25.005399588505572
schemex:std,7951.665973187611,517052.7931915088,8011.578126894435,24499.81940407894,65.02446090353517
attribute:min,18831.0,2106549.0,18832.0,187190.0,111.86601879878923
attribute:max,22503.0,3546004.0,22504.0,209045.0,157.57916722214816
attribute:mean,19656.408163265307,2799759.673469388,19657.408163265307,193024.81632653062,142.43495811720538
attribute:std,1009.7080212939313,517052.7931915088,1009.7080212939313,6356.384610745946,512.081495132534
type:min,3757.0,2106549.0,3757.0,0.0,560.6997604471653
type:max,6522.0,3546004.0,6522.0,0.0,543.6988653787182
type:mean,5772.959183673469,2799759.673469388,5772.959183673469,0.0,484.9782554131684
type:std,528.365757122204,517052.7931915088,528.365757122204,0.0,978.5887639798758
