,SE-ADD,SE-DEL,SE-MOD,SE-unchanged,instances,stability-ratio,change-ratio,update-ratio
schemex:min,31823.0,0.0,0.0,0.0,7064987.0,0.0,,
schemex:max,234467.0,66774.0,256758.0,6044989.0,10592783.0,0.8164612334035434,,
schemex:mean,92295.5,36414.0,165000.5,4452130.75,8109853.75,0.5468482656495173,,
schemex:std,95433.72097429713,29600.030078813546,113555.4880355855,2970529.7059165924,1665228.786458961,0.38241349227713733,,
attribute:min,3861.0,0.0,0.0,0.0,6382958.0,0.0,,
attribute:max,50207.0,10921.0,1465118.0,8829076.0,10592783.0,0.8977176412566086,,
attribute:mean,12327.9,7085.5,478824.2,6080431.5,8935584.0,0.677569949970074,,
attribute:std,13601.46980987308,2969.0800389645574,597797.8346417792,2367560.3561333036,1659412.18465288,0.26158512713262,,
type:min,1568.0,0.0,0.0,0.0,7064987.0,0.0,,
type:max,42300.0,10635.0,132330.0,8992302.0,10592783.0,0.8612633845958754,,
type:mean,12247.2,6008.4,73786.4,5434464.6,8576048.4,0.618847741447149,,
type:std,17047.36835115614,4748.837994709864,50411.87195790293,3295135.209727334,1779445.8243739256,0.3642948937856127,,
