,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch,Seepdup
schemex:min,44.52323333333333,1.3614333333333335,43.63163333333333,4.37085,253.82226666666665,398.79064999999997,544.9046833333333,0.9572716032068058
schemex:max,62.98561666666667,67.80175,88.2736,8.441383333333333,426.88191666666665,607.4685833333333,670.3758333333334,1.4386402573213122
schemex:mean,50.23377500000001,41.49774166666667,59.39765,6.334891666666666,367.8575041666667,525.3215625,596.3322666666667,1.2236249878634349
schemex:std,8.665965241108035,28.277727795532666,20.941340650997276,1.7123906891038705,78.02419766599996,90.71219457663014,65.72187152828836,0.24475630093038067
attribute:min,46.08218333333333,1.5286333333333333,46.3183,4.117333333333333,120.93198333333333,270.49935,,
attribute:max,75.71533333333333,70.11421666666666,124.76056666666666,8.9658,373.15791666666667,517.8022,,
attribute:mean,58.936446666666676,34.511941666666665,78.830525,6.053514999999999,239.49946166666663,417.83189000000004,,
attribute:std,10.258256321123207,29.76105739722949,31.466150042225223,1.5688423519115091,83.43378807570879,91.83019254980739,,
type:min,42.53461666666667,2.178533333333333,47.98968333333333,5.1015500000000005,9.530166666666666,153.07138333333333,923.5396833333333,3.4188516090839904
type:max,88.11308333333334,94.92171666666667,125.77776666666666,8.414816666666667,17.796733333333336,307.04788333333335,1576.0117,7.189849157993254
type:mean,60.66358,51.944329999999994,77.91105333333334,6.584426666666667,12.927793333333332,210.03118333333336,1123.7847083333334,5.676084942622542
type:std,19.072551480106313,34.06862932564984,33.37469132359837,1.3620135146580268,3.3236833982002905,62.611385887765394,306.46039755950835,1.5982671745033223
