,SE links,Imprint links,Schema Elements (SE),Schema Relations (SR),summarization-ratio
schemex:min,223527.0,7064987.0,232568.0,1303004.0,31.606861810877433
schemex:max,240311.0,10592783.0,249690.0,1413855.0,44.079476178784994
schemex:mean,232387.75,8109853.75,241487.75,1364105.75,34.89793997316984
schemex:std,6998.039124164236,1665228.786458961,7119.91509195627,54329.89457855285,237.9564842255489
attribute:min,49025.0,6382958.0,49026.0,682423.0,130.19802141764407
attribute:max,56387.0,10592783.0,56388.0,800419.0,187.85860216007237
attribute:mean,53187.1,8935584.0,53188.1,751375.2,168.00284279458742
attribute:std,2466.139693709358,1659412.18465288,2466.139693709358,40395.8528614015,672.8784216424225
type:min,31194.0,7064987.0,31194.0,0.0,226.485445919087
type:max,42300.0,10592783.0,42300.0,0.0,250.42040189125296
type:mean,36829.6,8576048.4,36829.6,0.0,232.85749505832268
type:std,5025.1463958774375,1779445.8243739256,5025.1463958774375,0.0,354.1082555990327
