Iteration,Load Graph,Parse Graph,Partition Graph,Schema Computation,Updates,Total,Batch
0,479851,155790,776711,93426,452322,1958101,1997191
1,483142,158288,752290,97544,432468,1923734,1984758
2,473119,168314,762416,96675,461740,1962265,2031310
3,461392,465648,487374,103460,433709,1951584,2006186
4,460687,493249,473849,102621,447244,1977651,2038666
5,466648,476878,467415,98686,444947,1954576,2041437
6,473291,476256,469106,102958,432433,1954046,2021678
7,471734,320821,615116,103781,447810,1959264,2008996
8,480744,304198,634708,100616,449226,1969493,2035432
9,480167,306651,630552,100808,460027,1978207,2040761
