Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,11752,48755111,0,48766863,111887,3435472,3435456,116103935,115684,452960,0,0,30630683,0,2835
1,6420,525133,176,531730,111541,3228961,3228936,100724015,115367,448840,0,0,265988,0,4604
2,4916,1453514,14,1458445,111954,3507224,3506977,116500643,115765,451752,0,0,907237,0,3438
3,7019,311182,29,318232,74390,2328520,2328520,115343913,76928,296307,0,0,14384,0,3162
4,5159,403049,27,408236,74376,2300439,2300438,112629520,76909,296378,0,0,206276,0,2357
5,5455,250432,122,256009,74208,2148834,2148834,102549656.5,76757,294608,0,0,52945,0,2525
6,3480,902741,14,906236,74280,2317658,2317484,115299658.5,76835,295478,0,0,552699,0,2501
7,4182,560794,9,564986,74189,2325322,2325322,113843889.5,76744,294954,0,0,326453,0,2612
8,3950,899009,9,902968,74432,2330141,2330141,116025786.5,76996,296503,0,0,556631,0,2222
9,3893,342391,95,346380,74063,2118889,2118889,102373282,76606,295080,0,0,201576,0,2632
10,3810,4235822,8,4239641,76502,2364002,2363889,120225765.5,79082,309405,0,0,2647520,0,2288
11,3406,852029,111,855546,74060,2139468,2139468,103669399,76601,294866,0,0,532837,0,5053
12,2888,1018614,11,1021513,74316,2323059,2322840,114933278,76878,296325,0,0,633463,0,2507
13,4085,352522,113,356721,74006,2109026,2109026,101307739.5,76550,294104,0,0,210604,0,2592
14,3036,474876,78,477991,73831,2004954,2004939,91595377,76368,293716,0,0,295936,0,2338
15,3492,1318951,15,1322459,74178,2304151,2303795,115462969.5,76738,295896,0,0,817271,0,2499
16,5669,479151,13,484834,74218,2306556,2306556,113199760,76770,295417,0,0,251055,0,2573
17,3765,569680,8,573454,74270,2305723,2305723,113317801,76827,296255,0,0,339123,0,2162
18,3710,473683,15,477409,74260,2296528,2296506,113656238.5,76822,296168,0,0,292064,0,2412
19,3672,442466,68,446206,71249,2199434,2199431,104747642.5,73143,287396,0,0,268635,0,5060
20,3130,2935646,200,2938977,74014,1833916,1833914,98012039,76560,295348,0,0,1858696,0,2498
21,762,91,791,1645,1,1,1,534,2,4,0,0,90,0,58008
22,3208,36187276,0,36190484,73068,1653266,1653232,85929618.5,74960,301009,0,0,22718176,0,1921
23,2884,3406228,21,3409133,75843,1721890,1721885,91158190.5,78390,307784,0,0,2133000,0,2761
24,3214,689227,13,692454,75834,1730718,1730718,90526959,78378,307850,0,0,418130,0,2472
25,2852,285746,29,288627,73783,1691533,1691449,87682275.5,76320,294734,0,0,178463,0,5255
26,3161,382247,101,385510,73560,1490286,1490235,79691043,76100,293052,0,0,238908,0,2621
27,2631,247190,8,249830,73570,1509749,1509749,80153724.5,76105,292921,0,0,139255,0,2120
28,2536,320892,9,323438,73590,1515036,1515034,80673389.5,76130,293330,0,0,176929,0,2126
29,2598,667757,19,670375,73477,1500882,1500882,80437969,75995,293521,0,0,408120,0,2382
30,2674,4368719,33,4371427,75604,1506045,1506042,82896819.5,78152,306835,0,0,2719946,0,2448
31,2312,314461,7,316780,75645,1547086,1547059,82963473,78198,307026,0,0,189156,0,2246
32,3265,210862,10,214139,75616,1540721,1540721,82967888.5,78164,306872,0,0,92074,0,2259
33,3164,336663,34,339861,73548,1495092,1495092,79884323,76083,293620,0,0,180966,0,4486
34,3303,269159,11,272474,73546,1497094,1497094,79818253.5,76087,293586,0,0,154107,0,2269
35,3688,200135,9,203833,73484,1507268,1507268,80281282,76016,293290,0,0,85735,0,2287
36,2973,224206,12,227191,73526,1503466,1503466,80117262,76061,293585,0,0,110064,0,2145
37,1979,409551,35,411566,73426,1462870,1462868,78896392,75954,293207,0,0,256528,0,2191
38,2673,436725,40,439439,73254,1404366,1404366,76049910.5,75768,292622,0,0,270056,0,2327
39,2587,1366526,9,1369123,73475,1724888,1724723,90028548.5,75998,292188,0,0,845993,0,2853
40,3104,1200036,14,1203154,73529,1707243,1707243,89211159,76062,293298,0,0,751267,0,2268
41,4924,240365,11,245301,73506,1702954,1702927,87913435.5,76031,293036,0,0,97774,0,2267
42,2439,518999,71,521510,70798,1571672,1571618,79692815,72676,286342,0,0,325264,0,4194
43,2830,2611814,7,2614652,73568,1722637,1722621,90078006.5,76096,293356,0,0,1663082,0,2272
44,3105,409454,91,412651,73202,1506530,1506514,74516981,75712,291292,0,0,254139,0,2685
45,3117,1137790,65,1140973,70761,1568874,1568726,79506033.5,72624,286248,0,0,715441,0,3629
46,5921,19837142,105,19843168,110210,2074161,2074155,106944703,112800,403640,0,0,11900213,0,26607
47,3982,13184852,370,13189204,73282,1596178,1596173,85147008,75798,292219,0,0,8301050,0,47104
48,2468,701231,4,703704,73270,1617437,1617437,84440821,75778,291719,0,0,424965,0,2297
49,3145,204892,12,208049,73255,1609821,1609821,83236116.5,75759,291532,0,0,92991,0,2075
50,3268,229197,35,232501,72957,1594574,1594573,82997851.5,75466,290230,0,0,108434,0,2876
