Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,13651,522908942,0,522922593,234467,7271943,7271941,278867803,243423,1303004,0,0,318890140,0,5891
1,16841,478681839,584,478699264,240311,7509702,7509686,275299698,249691,1413856,0,0,287562608,0,67934
2,14079,312702143,888,312717110,231246,7064987,7064817,277311609,240266,1333850,0,0,188943771,0,102698
3,17928,482020954,628,482039510,223527,10592783,10592762,392818513,232566,1405716,0,0,286043461,0,94530
4,26274,479928666,816,479955756,217427,10440827,10440825,394588566,225972,1370282,0,0,290119190,0,99224
5,15191,303021344,2449,303038984,209938,6382958,6382928,244212530,218619,1237123,0,0,183579337,0,84072
6,16253,520503403,451,520520107,248224,9640719,9640696,359295657,257565,1404419,0,0,314439055,0,89635
7,22912,397222180,735,397245827,245227,10275010,10274997,385737527,254370,1337403,0,0,243983408,0,92630
8,25454,729529491,961,729555906,252770,10140407,10140407,382993200,262431,1464125,0,0,442087206,0,113928
9,18879,387349582,749,387369210,251344,10036504,10036501,367512361,261023,1432837,0,0,229522384,0,77643
10,23290,493469426,468,493493184,274179,10718848,10718821,404802609,284296,1540716,0,0,293076469,0,94811
