Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes), Sec. Index Memory Size (bytes), Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,0,0,0,0,0,0,0,0,1528792,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,14144352,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,27622336,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,41623648,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,54747088,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,67864496,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,80983984,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,94105024,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,107223872,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,120345120,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,133463040,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,148411984,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,161531584,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,174646176,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,187767008,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,200887200,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,215032336,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,228151920,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,241271616,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,254391296,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,267509632,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,254391296,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,241271616,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,228151920,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,215032336,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,200887200,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,187767008,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,174646176,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,161531584,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,148411984,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,133463040,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,120345120,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,107223872,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,94105024,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,80983984,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,67864496,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,54747088,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,41623648,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,27622336,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,14144352,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,1529056,0,0,0,0,0,0,0
